,ihfB
Cr_1,0.002223854967267179
Cr_2,0.003974029582102174
Cr_3,0.004166541353931289
Cr_4,0.005127257865183199
Cr_5,0.0053876214399746405
Cr_6,0.005786076054164957
Fe_1,-0.008074185115915596
Fe_2,-0.025266382292311342
Fe_3,-0.0461132158513228
Fe_4,-0.07198449514481386
Fe_5,-0.08939627927242934
Fe_6,-0.09780219729285296
Cd_1,-0.003548808241000124
Cd_2,-0.00325369682476382
Cd_3,-0.004972504011213431
Cd_4,-0.008099533176476232
Cd_5,-0.014804160979616015
Cd_6,-0.020101111998491163
Zn_1,-0.0021079380851287163
Zn_2,0.00305665296015652
Zn_3,0.008491178184048384
Zn_4,0.010402469857913571
Zn_5,0.01434925074131238
Zn_6,0.014542250566342525
Cu_1,-0.0068573800190169275
Cu_2,-0.015342050085703697
Cu_3,-0.01986115894916749
Cu_4,-0.025665590766771298
Cu_5,-0.03100320724418808
Cu_6,-0.03343946481956639
Pb_1,0.02247200284028315
Pb_2,0.029433546382122994
Pb_3,0.024957930891218102
Pb_4,0.019461674374346902
Pb_5,0.019245341215418998
Pb_6,0.02101986358601145
