,rfaQ
Cr_1,-0.002799620857340626
Cr_2,-0.00644587414098345
Cr_3,0.0011095870227366353
Cr_4,-0.0029944592678670555
Cr_5,-0.0009486636655657883
Cr_6,0.0034589101358097
Fe_1,-0.02011384122608404
Fe_2,-0.047561247101433536
Fe_3,-0.07514679849172883
Fe_4,-0.10130305747023036
Fe_5,-0.13088072706762896
Fe_6,-0.14902393680433162
Cd_1,0.005435598716009963
Cd_2,0.0042400017484981005
Cd_3,0.007772528089761795
Cd_4,0.008818650227023333
Cd_5,0.005368365381392079
Cd_6,0.012210757751654821
Zn_1,-0.0255402302627877
Zn_2,-0.02702227840013429
Zn_3,-0.024775888477849485
Zn_4,0.003050166373523125
Zn_5,0.04502591279094072
Zn_6,0.06784446580406635
Cu_1,0.0063633212919722
Cu_2,0.010281170636809509
Cu_3,0.010376225044666744
Cu_4,0.015380988976671329
Cu_5,0.01538139993720087
Cu_6,0.02373825347791566
Pb_1,0.007526394842061598
Pb_2,0.014343123807080218
Pb_3,0.02074775924038531
Pb_4,0.03601541016924703
Pb_5,0.055546833335690604
Pb_6,0.06483448602220031
