gene_id,USA300HOU_RS00860
name,capM
operon,"cap5H,cap5I,cap5J,cap5K,cap5L,capM,cap5N,wecC,cap5P"
product,capsular polysaccharide biosynthesis protein Cap8M
cog,Cell wall/membrane/envelope biogenesis
regulator(s),CodY
link,"<a href=""https://aureowiki.med.uni-greifswald.de/SAUPAN000991000"">AureoWiki</a>"
