,nuoM
Cr_1,0.0024168848160341467
Cr_2,0.004853382270282628
Cr_3,0.01154115548044663
Cr_4,0.017116278338330203
Cr_5,0.023652837003781218
Cr_6,0.029233908920088626
Fe_1,-0.011423214627720484
Fe_2,-0.04025676073116848
Fe_3,-0.07609009633318664
Fe_4,-0.11935379947694698
Fe_5,-0.15660920788590174
Fe_6,-0.19087854553508354
Cd_1,0.0004981617479931752
Cd_2,0.0020467911991744994
Cd_3,0.0043885496227364686
Cd_4,0.0013834892247896072
Cd_5,-0.002390757325426995
Cd_6,-0.002250412790788025
Zn_1,-0.0034945434271658193
Zn_2,-0.00846119256680119
Zn_3,-0.011587025206009705
Zn_4,-0.011548551375340024
Zn_5,-0.00894185220954853
Zn_6,-0.010346041137307868
Cu_1,0.007211949683592106
Cu_2,0.0201462766385621
Cu_3,0.03408127692958944
Cu_4,0.05528234611710652
Cu_5,0.07038380772515462
Cu_6,0.09115076679573764
Pb_1,0.016139803221089623
Pb_2,0.0382904679770537
Pb_3,0.05954750136062841
Pb_4,0.07996488910682517
Pb_5,0.09805506152619912
Pb_6,0.1097167310532412
