,new_257573_257643_c
LBexp_1,12.6166
LBexp_2,12.1907
LBexp_3,12.0574
LBtran_1,9.7957
LBtran_2,10.8301
LBtran_3,11.1494
LBstat_1,7.7381
LBstat_2,7.9923
LBstat_3,8.021
LBGexp_1,11.2255
LBGexp_2,12.7972
LBGexp_3,11.6487
LBGtran_2,8.377
LBGtran_3,8.8297
LBGstat_1,10.5753
LBGstat_2,12.298
LBGstat_3,9.9513
S0_1,10.3587
S0_2,11.523
S0_3,11.0159
S1_1,13.9167
S1_2,13.5531
S1_3,14.551
S2_1,9.1811
S2_2,9.194
S2_3,8.4527
S3_1,8.1489
S3_2,8.4329
S4_1,8.7136
S4_2,8.2292
S4_3,8.208
S5_1,7.8870000000000005
S5_2,8.3893
S5_3,8.3295
S6_1,8.0905
S6_2,8.2888
S6_3,8.3988
S6/t_1,8.5526
S6/t_2,8.0274
S6_4,8.3083
S6_5,8.3976
S6_6,8.3864
S7_4,8.8461
S7_5,8.9799
S7_6,9.1111
S8_4,8.6493
S8_5,9.1409
G135_1,11.6074
G135_3,9.2248
G150_1,12.619
G150_2,11.7244
G150_3,12.4022
G180_1,10.1355
G180_2,10.196
G180_3,9.547
C30_1,9.4816
C30_2,9.3858
C90_1,11.4223
C90_2,11.7256
BI_1,10.6708
BI_2,11.3231
BC_2,7.3702
BC/t_1,7.723
BC/t_2,8.8132
BC_1,7.4591
Sw_1,7.7501
Sw_2,7.9867
BT_1,9.2169
BT_2,8.3198
B36_1,8.641
B36_2,8.367
B60_1,9.2202
B60_2,8.967
M9exp_1,11.8594
M9exp_2,11.5289
M9exp_3,11.4264
M9tran_1,11.194
M9tran_2,10.668800000000001
M9tran_3,11.4668
M9stat_1,9.5676
M9stat_2,9.7563
M9stat_3,9.1998
M+G_1,10.8116
M+G_2,10.958
M+G_3,10.8339
Glu_1,12.3577
Glu_2,12.1206
Glu_3,11.9167
Fru_1,10.9651
Fru_2,11.1733
Fru_3,11.3714
Mal_1,11.535
Mal_2,10.6858
Mal_3,11.6539
G+S_2,10.7342
G+S_3,11.2795
Pyr_1,9.673
Pyr_2,9.8714
Pyr_3,9.544
Gly_1,11.1007
Gly_2,11.4735
Gly_3,9.6478
Glucon_1,10.8117
Glucon_2,11.1642
Glucon_3,9.4286
aero_1,12.262
aero_2,11.1467
aero_3,12.4147
nit_1,10.906600000000001
nit_2,11.0298
nit_3,10.8273
ferm_1,10.5936
ferm_2,10.0924
ferm_3,10.7756
T-5.40H_1,12.3919
T-4.40H_1,12.0023
T-3.40H_1,11.967600000000001
T-2.40H_1,11.6383
T-1.40H_1,11.4529
T-1.10H_1,10.9199
T-0.40H_1,11.1941
T0.0H_1,11.2713
T0.30H_1,10.2342
T1.0H_1,10.1014
T1.30H_1,9.8451
T2.0H_1,9.2981
T2.30H_1,9.511
T3.0H_1,8.6773
T3.30H_1,8.7826
T4.0H_1,8.5335
T5.0H_1,8.2968
HPh_1,11.587
HPh_2,11.0782
HPh_3,11.1964
LPh_1,11.4259
LPh_2,11.4953
LPh_3,11.0709
LPhT_1,12.8136
LPhT_2,12.6082
LPhT_3,12.8903
SMMPr_1,11.2253
SMMPr_2,11.3421
SMMPr_3,11.0518
HiTm_1,11.2533
HiTm_2,11.5437
HiTm_3,10.8846
LoTm_1,8.3273
LoTm_2,8.2634
LoTm_3,8.2418
HiOs_1,9.9292
HiOs_2,9.0932
HiOs_3,9.5863
BMM_1,12.0502
BMM_2,12.1317
BMM_3,10.9317
Heat_1,13.1251
Heat_2,12.594100000000001
Heat_3,12.5511
Cold_1,11.3092
Cold_2,10.8457
Cold_3,10.2148
Etha_1,10.3397
Etha_2,10.2186
Etha_3,10.5027
SMM_1,12.0659
SMM_2,11.7208
SMM_3,11.7698
Salt_1,10.5131
Salt_2,10.4359
Salt_3,10.5597
Mt0_1,12.4241
Mt0_3,12.2738
M0t45_1,10.3053
M0t45_2,11.9246
M0t45_3,10.5167
M0t90_1,7.9483
M0t90_2,8.3038
M0t90_3,8.3448
M40t45_1,10.8162
M40t45_2,10.1164
M40t45_3,10.4055
M40t90_1,8.2276
M40t90_2,8.7814
M40t90_3,8.7513
dia0_1,12.6882
dia0_2,12.927
dia0_3,12.1156
dia5_1,13.5054
dia5_2,13.8555
dia5_3,13.5372
dia15_1,13.4318
dia15_2,12.1079
dia15_3,11.4868
Diami_1,13.5238
Diami_2,14.337
Diami_3,13.3605
Paraq_1,12.2767
Paraq_2,13.4856
Paraq_3,11.1321
H2O2_1,9.3052
H2O2_2,10.1313
H2O2_3,9.2957
Oxctl_1,11.1556
Oxctl_2,11.5247
Oxctl_3,12.0581
GM-0.1_1,11.6548
GM-0.2_1,11.428
GM+5_1,11.2985
GM+15_1,11.174
GM+25_1,11.3307
GM+45_1,11.8962
GM+60_1,11.7518
GM+90_1,11.745
GM+120_1,10.4927
GM+150_1,11.399000000000001
GM-0.1_2,11.6684
GM-0.2_2,12.5988
GM+5_2,11.5405
GM+10_2,10.9702
GM+15_2,10.1505
GM+25_2,11.2589
GM+45_2,10.7272
GM+60_2,9.8043
GM+90_2,11.5426
GM+150_2,10.0038
GM-0.1_3,11.8718
GM-0.2_3,11.5907
GM+5_3,11.8609
GM+10_3,10.3692
GM+15_3,10.8829
GM+25_3,7.6622
GM+45_3,10.4797
GM+60_3,9.7225
GM+90_3,11.5114
GM+120_3,11.3005
GM+150_3,11.6969
MG-0.1_1,11.9464
MG+5_1,13.6522
MG+10_1,14.0598
MG+15_1,12.7892
MG+25_1,12.0963
MG+45_1,9.8088
MG+120_1,10.6415
MG+150_1,11.2809
MG-0.1_2,10.9362
MG-0.2_2,11.3604
MG+5_2,13.3139
MG+10_2,13.5806
MG+15_2,14.0584
MG+25_2,11.7516
MG+45_2,9.9538
MG+60_2,10.2497
MG+90_2,10.9584
MG+120_2,12.3231
MG-0.1_3,12.6848
MG-0.2_3,11.6087
MG+5_3,13.23
MG+10_3,10.8176
MG+15_3,12.8118
MG+25_3,11.912700000000001
MG+45_3,11.1877
MG+60_3,10.3554
MG+90_3,11.7145
MG+120_3,11.2479
MG+150_3,11.0267
