,yjbQ
Cr_1,0.0006508541836875342
Cr_2,0.002351165370947533
Cr_3,0.0003618601402100678
Cr_4,-0.0002320514564514025
Cr_5,-0.0001382245319215166
Cr_6,-0.001903742904340982
Fe_1,-0.009400314752339876
Fe_2,-0.02897904316274979
Fe_3,-0.051649722288054416
Fe_4,-0.07364544231960375
Fe_5,-0.0963870386091944
Fe_6,-0.11419809049851533
Cd_1,0.002127525238552844
Cd_2,0.0030375497619515818
Cd_3,0.0048395228135011
Cd_4,0.007206462452244135
Cd_5,0.005591725775853351
Cd_6,0.010157917908078936
Zn_1,-0.0019116211755973718
Zn_2,-0.00722182770353938
Zn_3,-0.013204386533374841
Zn_4,-0.015770444789116586
Zn_5,-0.014692503944638509
Zn_6,-0.007978395222038982
Cu_1,0.0009475958854965538
Cu_2,0.0032737802274840173
Cu_3,0.004395478171521636
Cu_4,0.004829314572282622
Cu_5,0.006554888049239896
Cu_6,0.010754784103248292
Pb_1,-0.002243422009088918
Pb_2,-0.005190332789615879
Pb_3,-0.0053806660863528364
Pb_4,-0.004155927761654235
Pb_5,-0.00035196506603610896
Pb_6,0.003634801485388488
