,fryB
Cr_1,0.01914351692918165
Cr_2,0.036717170969430585
Cr_3,0.0724371721068746
Cr_4,0.09547382557721708
Cr_5,0.11121668429769538
Cr_6,0.11437849618269688
Fe_1,-0.002165498240195613
Fe_2,-0.008652383349710871
Fe_3,-0.021729129068842033
Fe_4,-0.03822232179694577
Fe_5,-0.04337992240510357
Fe_6,-0.05160240865783415
Cd_1,0.006468705914152769
Cd_2,0.007148480139062455
Cd_3,0.010148468201125615
Cd_4,0.009245316688855913
Cd_5,0.0164898663388974
Cd_6,0.02436107851031409
Zn_1,-0.008997130068139587
Zn_2,-0.004651216266200672
Zn_3,-0.007855386959624403
Zn_4,0.010605096624537815
Zn_5,-0.004290488239219158
Zn_6,-0.01235881352356876
Cu_1,0.0058032687184920535
Cu_2,0.015506981463543047
Cu_3,0.027295177538369342
Cu_4,0.04327554276752523
Cu_5,0.05537122052155562
Cu_6,0.06486231863817939
Pb_1,0.0029720647055375624
Pb_2,0.016482940501549224
Pb_3,0.02176201551207524
Pb_4,0.05144617886761551
Pb_5,0.06174724461880681
Pb_6,0.0741802047320713
