,yhbQ
Cr_1,0.0006748347851446459
Cr_2,0.0024122539192717434
Cr_3,0.006501997965900411
Cr_4,0.010347881609449569
Cr_5,0.014680644395044271
Cr_6,0.0175317676116138
Fe_1,-0.0009447606032801632
Fe_2,-0.007278584513266853
Fe_3,-0.007876414747899655
Fe_4,-0.013743096654063546
Fe_5,-0.015328743763097756
Fe_6,-0.016055924634713892
Cd_1,-0.0010287918224054858
Cd_2,-0.0014823535741344035
Cd_3,-0.0017206463017129512
Cd_4,-0.002385155847057258
Cd_5,-0.006437865721162542
Cd_6,-0.00473840129402725
Zn_1,-0.00681244985882132
Zn_2,-0.0017119708463907619
Zn_3,0.005631032673956802
Zn_4,0.01090507276644812
Zn_5,0.026420784474798426
Zn_6,0.03547804189010513
Cu_1,0.00038172275619831407
Cu_2,0.004710200077869974
Cu_3,0.011607721142794356
Cu_4,0.01898490837222429
Cu_5,0.023306439407084656
Cu_6,0.033068508866379735
Pb_1,0.00542137239441228
Pb_2,0.013191464563808729
Pb_3,0.025217592295209132
Pb_4,0.04006145887822552
Pb_5,0.052088283888861726
Pb_6,0.0634800606572798
