,hemN
Cr_1,-0.005105431000836416
Cr_2,-0.00422511927286258
Cr_3,-0.002944899424828418
Cr_4,-0.0011195564243787486
Cr_5,0.0010133906645397226
Cr_6,0.002063602955373239
Fe_1,-0.0043898555032364775
Fe_2,-0.004646533667359057
Fe_3,0.007394214292522299
Fe_4,0.026696674858139938
Fe_5,0.05136107520874693
Fe_6,0.08248159913606899
Cd_1,-0.0038278571600909397
Cd_2,-0.007619372522455937
Cd_3,-0.009790008033793709
Cd_4,-0.009709915562627285
Cd_5,-0.012519147171548534
Cd_6,-0.012539627457460687
Zn_1,-0.005440759097829791
Zn_2,-0.0067001833311427506
Zn_3,-0.0006576024364514866
Zn_4,0.010477145981180346
Zn_5,0.021682574675859087
Zn_6,0.03289808306310976
Cu_1,0.0020485170886995127
Cu_2,0.003392817960297061
Cu_3,0.007154561361821844
Cu_4,0.006670387694923618
Cu_5,0.005783769032310585
Cu_6,0.0005219187838687461
Pb_1,-0.006025814143958397
Pb_2,-0.01227294486894227
Pb_3,-0.012832678364306958
Pb_4,-0.015414796778445915
Pb_5,-0.016882168088503558
Pb_6,-0.014135036569174553
