,ycjY
Cr_1,-0.00263108914918158
Cr_2,-0.001543802660329698
Cr_3,0.004138512333938153
Cr_4,0.004796063246809646
Cr_5,0.008501967440128171
Cr_6,0.00770136960605192
Fe_1,-0.011393481618755
Fe_2,-0.03724703075445997
Fe_3,-0.06720736765611791
Fe_4,-0.10479542759985404
Fe_5,-0.13761362149161566
Fe_6,-0.15741064014818468
Cd_1,-0.0006627003081464472
Cd_2,0.002297922055330635
Cd_3,0.006700532664729144
Cd_4,0.012549651072967884
Cd_5,0.0128975420228125
Cd_6,0.021386656716670185
Zn_1,-0.0060675125185610706
Zn_2,-0.006000950457898991
Zn_3,-0.0037054220634714064
Zn_4,0.0058383038304600215
Zn_5,0.010390714736108048
Zn_6,0.017055405570535944
Cu_1,0.004578809422363606
Cu_2,0.004575721080731081
Cu_3,0.004393674850119772
Cu_4,0.001032444964998365
Cu_5,-0.0010091064566336947
Cu_6,-0.0013135448554892435
Pb_1,-0.002040781085144455
Pb_2,0.002868113688577223
Pb_3,0.015695853569918452
Pb_4,0.025990190905696275
Pb_5,0.03502574085780399
Pb_6,0.04581365701425575
