,ftsK
Cr_1,-0.00851556623331122
Cr_2,-0.0059996440526046795
Cr_3,0.006020312804751538
Cr_4,0.023449240560086567
Cr_5,0.03491022441311563
Cr_6,0.04629884135061593
Fe_1,-0.010791905402611594
Fe_2,-0.03182835669306255
Fe_3,-0.05353776193777059
Fe_4,-0.0806589961596201
Fe_5,-0.1021293137987926
Fe_6,-0.12018570490043726
Cd_1,0.00606130451638776
Cd_2,0.013611908017354615
Cd_3,0.021928092317297376
Cd_4,0.03206429455798783
Cd_5,0.037714154779264125
Cd_6,0.05051663395639387
Zn_1,-0.0053244035524218315
Zn_2,-0.007509911946997628
Zn_3,-0.007859895066993569
Zn_4,0.002372723810735553
Zn_5,0.01755851754177803
Zn_6,0.03482692047021271
Cu_1,-0.0010676037610193431
Cu_2,0.002481346690182092
Cu_3,0.010366057326441002
Cu_4,0.018768252083550627
Cu_5,0.030217027083616024
Cu_6,0.041468894659723816
Pb_1,0.000515846291185766
Pb_2,0.003920444327042529
Pb_3,0.007738866447332999
Pb_4,0.013397317540543931
Pb_5,0.01912937070229731
Pb_6,0.02890689814070528
