,mltD
Cr_1,0.005003550263974114
Cr_2,0.016673974557002227
Cr_3,0.032920027570808016
Cr_4,0.044380694895567466
Cr_5,0.04478673315841755
Cr_6,0.04453961382119513
Fe_1,0.018531944564813715
Fe_2,0.06566285331812739
Fe_3,0.11618491371721887
Fe_4,0.14576989034054566
Fe_5,0.1863422357066053
Fe_6,0.2133425711946295
Cd_1,-0.0007158426217711519
Cd_2,-0.0006486605933138442
Cd_3,0.012031512198130676
Cd_4,0.03107341465862648
Cd_5,0.039645775452489526
Cd_6,0.044528713907416174
Zn_1,-0.00227730665696259
Zn_2,0.01967609736570251
Zn_3,0.05510230511860844
Zn_4,0.09472106068066262
Zn_5,0.12986953450850014
Zn_6,0.1518047009284629
Cu_1,0.01772478742096219
Cu_2,0.03671859281417559
Cu_3,0.043465492577479496
Cu_4,0.056817626199611976
Cu_5,0.07509521924098937
Cu_6,0.08491601040553551
Pb_1,0.01684421296687211
Pb_2,0.034316527180442195
Pb_3,0.0580296330443343
Pb_4,0.06849448132756268
Pb_5,0.07252717761966912
Pb_6,0.09178947682102412
