,Value,list
TF,PhoP + SigA,
reg_genes,70,"['tagB' 'phoR' 'tagH' 'srfAD' 'resD' 'skfF' 'treP' 'skfA' 'resB' 'S126'
 'S99' 'S1373' 'tagF' 'treA' 'S77' 'S83' 'phoP' 'S1097' 'S82' 'srfAA'
 'srfAB' 'tagG' 'skfH' 'skfC' 'tatCD' 'ykzB' 'skfB' 'comS' 'skfG' 'S78'
 'treR' 'skfE' 'S878' 'S1375' 'tagD' 'tatAD' 'resE' 'S879' 'tagA' 'glpT'
 'srfAC' 'S1372' 'resC' 'S327' 'resA' 'S1374' 'S1371' 'tagE' 'S201']"
comp_genes,22,['pipA']
both_genes,21,"['pstBB' 'tuaD' 'phoD' 'tuaC' 'glpQ' 'tuaH' 'tuaB' 'S1361' 'phoA' 'tuaA/1'
 'tuaE' 'pstA' 'tuaF' 'tuaA/2' 'pstC' 'pstBA' 'tuaG' 'ydhF' 'ykoL' 'pstS'
 'phoB']"
reg_genes2,0,
comp_genes2,0,
both_genes2,0,
reg_ops,18,
comp_ops,8,
both_ops,8,
