,A,PhoP,SigA
R2,,0.048876534629267,0.00953198808281075
xmin,,9.0352,10.6334
xmid,,11.744193658849714,
xmax,,15.1638,14.8203
ystart,,3.3765262899093145,7.853987294442181
yend,,9.856182870955092,2.7574877153124397
LBexp_1,1.8135670967,11.9383,13.9229
LBexp_2,0.168930026,12.0364,13.6986
LBexp_3,1.0688021307,11.5358,13.5366
LBtran_1,3.7682156355,14.4076,13.5861
LBtran_2,2.887224819,13.3857,13.6947
LBtran_3,3.9492073097000002,13.0809,13.6814
LBstat_1,5.1181374632,13.4627,13.746
LBstat_2,5.2028538641,12.8477,13.8294
LBstat_3,6.2030558368,13.0773,13.7637
LBGexp_1,0.6053888393,11.2985,14.0966
LBGexp_2,-0.0909050428,11.6045,13.9632
LBGexp_3,1.5733772769,11.1862,14.2782
LBGtran_2,4.5498746616,11.8554,13.6213
LBGtran_3,2.6577213581,12.5182,13.9309
LBGstat_1,7.7745343352,10.9838,13.8958
LBGstat_2,8.851184375,10.4194,13.2182
LBGstat_3,3.368451372,11.4899,12.9318
S0_1,7.2701018005,11.9092,13.7975
S0_2,7.1778125402,11.8755,13.5336
S0_3,8.0392574242,12.4533,13.7362
S1_1,3.5015021495000003,13.231,14.1328
S1_2,3.9799840674,13.3387,14.2092
S1_3,2.9431239712,13.6179,14.064
S2_1,3.988493085,12.1553,12.1327
S2_2,4.5690631306,12.2381,12.2083
S2_3,5.481605951,12.1413,11.9224
S3_1,6.8169089549,13.8684,13.7874
S3_2,7.7761216566,14.0433,12.9115
S4_1,5.3059515511,14.2989,13.3174
S4_2,6.9684654135,13.9814,13.6235
S4_3,6.3501440334,13.6651,13.5395
S5_1,7.1421124329,13.8701,13.9484
S5_2,8.7140164967,14.2978,14.1419
S5_3,6.8110614824999995,14.2916,13.9735
S6_1,9.7929565546,13.4664,14.1058
S6_2,12.2742675549,12.4532,14.8051
S6_3,8.9650079844,13.3896,13.7208
S6/t_1,10.597741600300001,13.2178,14.058
S6/t_2,13.4651162258,11.4977,14.1715
S6_4,10.7882617399,12.2265,13.8429
S6_5,10.5817382791,12.8766,14.2173
S6_6,9.918596043400001,12.9764,14.1053
S7_4,11.3243166406,12.7495,13.8537
S7_5,11.371640281,12.6442,13.728
S7_6,11.50340845,12.5797,13.6696
S8_4,12.1479085438,12.1832,13.1727
S8_5,15.4532463681,11.7989,13.7501
G135_1,2.7346197827000003,10.823,14.5319
G135_3,5.5660140305,9.0362,12.9564
G150_1,4.9698430841,11.0348,13.5516
G150_2,2.8794584216,11.2902,14.3711
G150_3,4.228110347,11.3412,14.2475
G180_1,3.3262509685,10.677,14.2981
G180_2,3.3266988074,11.041,14.6324
G180_3,3.8584329053,9.8904,13.5078
C30_1,3.7736585943,10.2917,13.9429
C30_2,3.5274175376,10.4946,13.9782
C90_1,3.1569167043,12.2744,13.9492
C90_2,2.6118593580000002,12.6136,14.0178
BI_1,12.5203964597,12.7591,13.9966
BI_2,15.6501359226,12.9042,14.2096
BC_2,0.027119580600000002,13.2073,14.5882
BC/t_1,1.7103198803000002,12.471,14.4731
BC/t_2,1.4059703145,12.9243,14.5832
BC_1,1.6876557572,12.543800000000001,14.0031
Sw_1,4.1256826769,11.9656,14.5375
Sw_2,1.4201544326,12.6522,14.5394
BT_1,9.9951916149,11.7113,14.0683
BT_2,11.0702902375,10.7939,13.4581
B36_1,12.7382453864,12.2607,13.5848
B36_2,11.3675065335,12.0409,13.206
B60_1,17.7764499774,12.7677,12.6109
B60_2,15.9193374707,12.8649,12.0737
M9exp_1,-0.4468593187,12.0491,13.9416
M9exp_2,0.3836439383,11.7419,13.5344
M9exp_3,0.0632153803,11.5667,12.9987
M9tran_1,3.6878397041,11.8588,12.9718
M9tran_2,4.0161453067,11.8419,12.9986
M9tran_3,1.8087089536,11.9373,13.2089
M9stat_1,6.5586628896,13.4952,11.1238
M9stat_2,6.6669329735,13.2129,10.8989
M9stat_3,6.6058824681,13.2118,10.6334
M+G_1,5.6989955138,10.7673,13.2264
M+G_2,2.4470467371,11.4466,13.4217
M+G_3,3.0084417938,11.2619,13.511800000000001
Glu_1,1.6690168796,12.0185,13.530100000000001
Glu_2,1.6026777715,11.8449,13.6327
Glu_3,1.297066669,12.0531,13.7226
Fru_1,0.1201439675,11.9516,14.0674
Fru_2,1.5483419342,12.0382,14.0951
Fru_3,2.8459545565,11.4034,13.1654
Mal_1,4.5441855102,11.8599,13.4585
Mal_2,3.2104023921,11.5623,13.6349
Mal_3,3.2779730223,12.2551,13.4566
G+S_2,4.5519043386,12.5492,13.9115
G+S_3,4.5064695325,12.9083,13.688
Pyr_1,5.6157426432,12.2315,12.3939
Pyr_2,4.4668132334,12.5135,13.5458
Pyr_3,5.2211979994,12.1799,13.0023
Gly_1,12.0794784701,10.7622,12.5146
Gly_2,10.0101631429,11.5465,13.6785
Gly_3,11.7567725312,10.179,12.1185
Glucon_1,6.0852727037,11.1575,12.7107
Glucon_2,4.9051813619,11.5357,13.0733
Glucon_3,8.7388446336,10.5892,12.2186
aero_1,2.2607176802,11.4972,14.1133
aero_2,4.7699831154,10.2175,13.0753
aero_3,2.4020805565,11.3652,14.043
nit_1,3.0694053159,12.5261,13.5453
nit_2,2.0884973887,12.5879,13.5476
nit_3,3.7579532733,12.3727,13.1939
ferm_1,2.8451120018,12.5963,13.3104
ferm_2,3.7709972862,12.0973,13.4516
ferm_3,4.4354695861,12.5434,14.084
T-5.40H_1,-1.5921428751,12.4078,13.7772
T-4.40H_1,-1.1705195064,11.7146,13.9864
T-3.40H_1,-1.8228167913000002,11.8651,13.7203
T-2.40H_1,-1.0937332198,11.6089,13.5645
T-1.40H_1,-0.0902225747,11.6985,13.5384
T-1.10H_1,0.7028893395,11.8774,13.6837
T-0.40H_1,0.8459167206,11.526,13.1869
T0.0H_1,2.1230532284,12.0907,13.1322
T0.30H_1,7.466415868,13.8763,12.4796
T1.0H_1,6.2318542272,14.1785,12.338
T1.30H_1,6.4854088416,14.1068,12.2101
T2.0H_1,6.9382621113,13.4851,12.1585
T2.30H_1,4.966448824,14.2331,12.7417
T3.0H_1,4.8021195401,13.7161,12.3403
T3.30H_1,5.330834274,13.8636,12.2105
T4.0H_1,5.4752350229,13.6145,11.7531
T5.0H_1,6.1534861699,12.8351,11.4151
HPh_1,4.8911177088,11.2683,13.9961
HPh_2,4.5308813645,10.854800000000001,13.8834
HPh_3,3.9993574084,11.2411,13.9816
LPh_1,5.0904943693,11.1934,14.0627
LPh_2,3.9847183849,11.6773,14.6632
LPh_3,4.1808175595,11.1525,14.1228
LPhT_1,57.9625789578,12.9986,13.2688
LPhT_2,60.2391153663,13.1291,13.1712
LPhT_3,61.2609419415,13.3153,13.3603
SMMPr_1,1.4637809749000001,11.5935,14.0475
SMMPr_2,2.3879351511999998,11.7392,14.0387
SMMPr_3,1.6638468400000002,11.6784,14.0168
HiTm_1,9.4036173689,11.2302,14.1183
HiTm_2,3.9459326801000003,12.1234,13.3113
HiTm_3,4.2148799605,12.1758,13.5911
LoTm_1,0.2759908821,12.7641,12.3657
LoTm_2,-0.0715425107,12.7363,12.2284
LoTm_3,0.08896648900000001,12.9176,12.255700000000001
HiOs_1,1.1386080202,12.239,13.2213
HiOs_2,2.0650817692,11.9439,13.1559
HiOs_3,1.6670779285,12.1753,13.2773
BMM_1,1.4997591226,12.0058,13.4498
BMM_2,1.9997830531,11.6958,13.3205
BMM_3,1.690901534,11.693,13.5462
Heat_1,4.7186449332,12.3468,13.2334
Heat_2,4.8113035140000004,12.1899,12.9985
Heat_3,5.3690663235,11.8792,12.9208
Cold_1,3.4310432022,10.4584,14.8203
Cold_2,4.1960074779,9.5517,14.1853
Cold_3,5.5960462802,9.0352,13.7563
Etha_1,6.634279197,11.6657,12.8573
Etha_2,7.3405328885,11.0273,12.7243
Etha_3,6.1905970193,11.7582,12.9687
SMM_1,0.31921764950000003,11.5703,13.5052
SMM_2,-0.1376210785,11.5568,13.4164
SMM_3,-0.1781919972,11.629,13.5245
Salt_1,-0.1124304867,10.7756,13.4812
Salt_2,-0.5814363986000001,10.7622,13.3286
Salt_3,-0.49420518300000005,10.7822,13.5898
Mt0_1,4.2643829668,11.7689,14.1658
Mt0_3,2.1966908958999998,12.0739,14.0834
M0t45_1,2.868770257,12.5497,14.1543
M0t45_2,4.1481186021,11.4439,14.1846
M0t45_3,0.31763706010000003,12.8554,14.2651
M0t90_1,5.2230403751,14.1157,12.6548
M0t90_2,4.2303976749,14.6479,13.7437
M0t90_3,4.6956340986,14.7104,13.3157
M40t45_1,3.8785751893000002,12.1607,13.6425
M40t45_2,4.3722633697,14.2282,14.0392
M40t45_3,-0.9586475168,12.9526,14.097
M40t90_1,5.0594104217,14.6356,13.0377
M40t90_2,4.873321962,15.032,13.1057
M40t90_3,4.2733556061,15.1638,13.594
dia0_1,2.8003176443,11.5641,13.697
dia0_2,2.0503310224,11.8415,13.836
dia0_3,0.1659489368,11.8493,14.2766
dia5_1,2.180207282,12.6064,12.4511
dia5_2,3.8768153545,12.5514,12.4552
dia5_3,1.7715098295,12.5459,12.6806
dia15_1,3.2812376545,12.4791,13.6394
dia15_2,-0.5116647143,12.1454,14.4124
dia15_3,-0.7405115577,11.6483,13.2235
Diami_1,8.4215838163,10.8933,12.3456
Diami_2,5.804818159,11.3663,12.9074
Diami_3,7.8993502134,11.1334,12.8769
Paraq_1,3.8580497046,10.6926,14.2324
Paraq_2,2.0271715347,11.3772,14.4646
Paraq_3,5.5991637697000005,9.9298,13.0518
H2O2_1,4.4335805096,11.1536,13.9536
H2O2_2,3.3273416229,11.5071,14.1817
H2O2_3,5.4234279735,11.3816,13.918800000000001
Oxctl_1,3.8424242334,10.6337,13.8599
Oxctl_2,3.8914883063,10.6227,13.7135
Oxctl_3,1.5319938709,11.1149,14.478
GM-0.1_1,1.9234672291,11.5686,13.419
GM-0.2_1,2.9599777145,11.461,13.3759
GM+5_1,0.1090096535,11.2016,13.3714
GM+15_1,0.0532048191,11.8474,13.531600000000001
GM+25_1,-2.1381406967,12.3422,13.8283
GM+45_1,-0.1669867854,11.9955,13.8168
GM+60_1,-0.2315425713,11.8947,13.9334
GM+90_1,1.415587441,11.8538,13.8087
GM+120_1,5.2736780706,10.8418,12.8213
GM+150_1,2.7330081314,11.2658,13.4015
GM-0.1_2,-1.4284376397,12.0606,13.752
GM-0.2_2,0.1590744011,12.1354,13.8708
GM+5_2,-1.5289656776,11.6987,13.4779
GM+10_2,-1.7300563737,11.6188,13.5433
GM+15_2,0.1750418756,11.8078,13.2997
GM+25_2,-1.6121540747,11.9832,13.492
GM+45_2,0.6741560401000001,10.8938,13.0365
GM+60_2,2.3483068689,10.8558,12.8823
GM+90_2,1.028023819,11.755,13.7723
GM+150_2,3.7711739405999998,11.9169,12.7105
GM-0.1_3,-0.0493809629,11.8249,13.4343
GM-0.2_3,-0.8539865600000001,11.7442,13.5552
GM+5_3,-0.9159792269,11.7254,13.5866
GM+10_3,0.7930474537000001,10.547,12.6924
GM+15_3,-0.0185313863,11.5554,13.3161
GM+25_3,1.7359883626000001,11.2242,13.1581
GM+45_3,4.4303818801,11.0635,12.8715
GM+60_3,3.6036921136,10.8261,12.9321
GM+90_3,2.0218484922,11.5253,13.4402
GM+120_3,3.7507658171,11.1806,13.4896
GM+150_3,2.1496099998,11.5602,13.4983
MG-0.1_1,0.7300897401,12.1473,13.6023
MG+5_1,1.1972193594,12.0417,13.617
MG+10_1,-0.6411559634,12.3921,13.9654
MG+15_1,1.3037436105,11.5252,13.1208
MG+25_1,0.3717542123,11.7972,13.7609
MG+45_1,1.1001161842,11.6371,13.5406
MG+120_1,5.5582339545,10.7459,13.0947
MG+150_1,1.959690545,11.8052,13.2405
MG-0.1_2,1.9697845403,11.2738,12.8072
MG-0.2_2,0.6639864729,11.7919,13.3433
MG+5_2,0.2384082626,11.7411,13.3291
MG+10_2,-0.0197460635,12.0557,13.6988
MG+15_2,-0.3653417592,12.7556,14.3943
MG+25_2,1.10839951,11.5086,13.3344
MG+45_2,2.3909518164,10.9311,12.8247
MG+60_2,1.2990971179,11.3789,13.5254
MG+90_2,1.9850069487000002,11.1136,13.0474
MG+120_2,2.5366672864,11.9595,13.4313
MG-0.1_3,-0.7606455843000001,12.7382,13.9857
MG-0.2_3,0.7139653421000001,12.1714,13.6561
MG+5_3,1.1135329322,11.9096,13.3195
MG+10_3,4.0310849126,11.5177,13.2006
MG+15_3,-0.5462499803,12.3406,13.788
MG+25_3,-0.645402645,12.0088,13.6718
MG+45_3,-0.953323943,12.2286,13.7991
MG+60_3,2.1719894562,11.7881,13.3483
MG+90_3,0.6438076953,11.9614,13.5993
MG+120_3,3.0333912876,11.7381,13.1479
MG+150_3,1.9668024182,11.7734,13.0847
