,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X,rep5_idx,rep5_X,rep6_idx,rep6_X,rep7_idx,rep7_X,rep8_idx,rep8_X,rep9_idx,rep9_X,rep10_idx,rep10_X,rep11_idx,rep11_X,rep12_idx,rep12_X,rep13_idx,rep13_X,rep14_idx,rep14_X,rep15_idx,rep15_X,rep16_idx,rep16_X,rep17_idx,rep17_X,rep18_idx,rep18_X,rep19_idx,rep19_X,rep20_idx,rep20_X,rep21_idx,rep21_X
0,ME_vs_LE__THY_None_WT_earlylog-planktonic,-3.33333360913457e-11,0.7086101200121011,3.0,0.0,0.5823686418,1.0,0.20657403,2.0,-0.7889426719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ME_vs_LE__THY_None_WT_latelog-planktonic,0.7572970292000001,0.23615136148412347,3.0,3.0,0.5403110453000001,4.0,0.7227680731,5.0,1.0088119692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ME_vs_LE__THY_None_WT_earlystationary-planktonic,1.3286280627333333,0.26889608227642514,3.0,6.0,1.0550110252,7.0,1.3383327238,8.0,1.5925404392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ME_vs_S__THY_None_WT_mid-exponential_OD1.0,-4.761989744327452e-12,1.3923635402657768,21.0,9.0,0.3771850424,10.0,-0.8245364275,11.0,-0.2669858287,12.0,-1.0241053733,13.0,-0.0065268821,14.0,-1.0069214321,15.0,-0.79413943,16.0,-1.188889727,17.0,-0.6476668142,18.0,-0.3921040925,19.0,-0.5570241684,20.0,-1.4397745583,21.0,-0.6979978389,22.0,0.0140526919,23.0,-0.22917374810000002,24.0,-0.4985950657,25.0,0.1293477663,26.0,-0.3535473887,27.0,2.642733165,28.0,3.4876110995,29.0,3.2770590103
4,ME_vs_S__THY_None_WT_early-stationary_OD1.8,0.23625761169999998,1.7463412418423712,21.0,30.0,-0.3747202593,31.0,0.5601357615,32.0,-0.0152540029,33.0,0.7796683411,34.0,-0.033444651,35.0,0.4171801646,36.0,-0.7960723655,37.0,-1.6031200919000002,38.0,-2.3401966827000003,39.0,-0.0923410177,40.0,0.3934257128,41.0,-0.46909862760000004,42.0,-1.7690556377000002,43.0,-0.46457072730000004,44.0,0.1806878074,45.0,-1.1225811372,46.0,0.1863656646,47.0,-0.3549459902,48.0,3.9824073854,49.0,3.8345951148,50.0,4.0623450845
5,WT_vs_Del_ccpA__THY_None_WT_exponential,-3.333333146541643e-11,0.5713096056011889,3.0,51.0,-0.6157743668,52.0,0.5128533083,53.0,0.1029210584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,WT_vs_Del_ccpA__THY_None_Del-ccpA_exponential,-2.10231846265,0.5662054450638148,4.0,54.0,-2.8310104603,55.0,-2.2109393239,56.0,-1.8686335003,57.0,-1.4986905661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,WT_vs_Del_covR__THY_None_WT_late-exponential,0.0,0.16220841591843044,4.0,58.0,-0.2227880739,59.0,0.0580956243,60.0,0.0037228133000000003,61.0,0.1609696363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,WT_vs_Del_covR__THY_None_covR-D53A_late-exponential,-1.816949349725,1.0624432899838157,4.0,62.0,-3.0644812617,63.0,-2.0407858646,64.0,-1.6717971222,65.0,-0.49073315040000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,WT_vs_Del_covR__THY_None_covS-E281A_late-exponential,-1.419850583375,0.5254037318252555,4.0,66.0,-0.9383434749,67.0,-1.7280534674,68.0,-1.0134043515,69.0,-1.9996010397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,WT_vs_Del_covR__THY_None_covS-T284A_late-exponential,0.31970462335000005,0.5479626643738325,4.0,70.0,-0.4391191665,71.0,0.8467078964,72.0,0.5365427639,73.0,0.33468699960000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,WT_vs_Del_dahA__THY_None_WT_mid-exponential,6.938893903907228e-18,0.6482825587900738,6.0,74.0,-0.9768687727,75.0,-0.0140071456,76.0,-0.3689824248,86.0,0.9568160365,88.0,0.2852351694,90.0,0.11780713720000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
