locus,gene_weight,gene_name,gene_product,cog,operon,regulator,MtlR,link
BSU_03982,0.3809270302223966,mtlF,phosphotransferase system (PTS) mannitol-specific enzyme IIA component,Carbohydrate transport and metabolism,Op299,"MtlR,SigA",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_03982
BSU_03981,0.3517203046093378,mtlA,phosphotransferase system (PTS) mannitol-specific enzyme IICB component,Carbohydrate transport and metabolism,Op299,"MtlR,SigA",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_03981
BSU_03990,0.35148905639895034,mtlD,mannitol-1-phosphate 5-dehydrogenase,Carbohydrate transport and metabolism,Op299,"MtlR,SigA",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_03990
