,ycgL
Cr_1,0.01042639003143739
Cr_2,0.022338574441340436
Cr_3,0.03429611974760512
Cr_4,0.037130074896389774
Cr_5,0.04482337488799543
Cr_6,0.037525440656225914
Fe_1,-0.05567044425130428
Fe_2,-0.1187494749278791
Fe_3,-0.16744723934352607
Fe_4,-0.2140723301732479
Fe_5,-0.23359164557184525
Fe_6,-0.2450057090471089
Cd_1,0.003308359067981359
Cd_2,0.009062500875241013
Cd_3,0.015178505230219859
Cd_4,0.02036697851410128
Cd_5,0.014630799906578187
Cd_6,0.019088106631280643
Zn_1,-0.00799663095655195
Zn_2,-0.02483017371587297
Zn_3,-0.030320059353825143
Zn_4,-0.03810473447926281
Zn_5,-0.046413812605363404
Zn_6,-0.032164912589821675
Cu_1,-0.003995006059205733
Cu_2,-0.0043404664135083025
Cu_3,0.0019351646225856086
Cu_4,0.00679370307048435
Cu_5,0.012232780009004943
Cu_6,0.01848176939329312
Pb_1,0.0019065009575856087
Pb_2,0.011309323635932992
Pb_3,0.017878658964945074
Pb_4,0.02270414092603424
Pb_5,0.03618978285923385
Pb_6,0.045638338034285485
