locus,gene_weight,gene_name,gene_product,cog,operon,regulator,Thi-box,link
BSU_11690,0.1966255769043216,thiG,hydroxyethylthiazole phosphate synthetase (thiamine biosynthesis),Coenzyme transport and metabolism,Op909,Thi-box,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_11690
BSU_11700,0.1875038358036323,thiF,adenylate transferase and sulfur transferase (thiamine biosynthesis),Coenzyme transport and metabolism,Op909,Thi-box,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_11700
BSU_11670,0.18381895634827636,thiO,FAD-dependent glycine oxidase,Amino acid transport and metabolism,Op909,Thi-box,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_11670
BSU_11680,0.1821985168976646,thiS,sulfur carrier for synthesis of hydroxyethylthiazole phosphate,Coenzyme transport and metabolism,Op909,Thi-box,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_11680
BSU_11650,0.1799745252202163,tenA,thiaminase II,Transcription,Op909,Thi-box,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_11650
BSU_11710,0.17738726979554628,thiD,phosphomethylpyrimidine kinase%2C 4-amino-5-hydroxymethyl-2-methylpyrimidine and 4-amino-5-hydroxymethyl-2-methylpyrimidine pyrophosphate kinase,Coenzyme transport and metabolism,Op909,Thi-box,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_11710
BSU_11660,0.1624171601021433,tenI,thiazole tautomerase,Coenzyme transport and metabolism,Op909,Thi-box,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_11660
BSU_13220,0.14722035365001954,thiW,thiamine ABC transporter (ATP-binding subunit),Inorganic ion transport and metabolism,Op1031,Thi-box,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_13220
BSU_08790,0.14285369300208844,thiC,phosphomethylpyrimidine synthase,Coenzyme transport and metabolism,Op683,Thi-box,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_08790
BSU_13240,0.1418097959673748,thiU,thiamine-binding protein (oxidation stress protein),Function unknown,Op1033,Thi-box,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_13240
BSU_13230,0.13435033105182542,thiV,thiamine transporter%2C permease component,Function unknown,Op1032,Thi-box,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_13230
BSU_13210,0.12309915517359064,thiX,thiamine transporter%2C transmembrane T component,Inorganic ion transport and metabolism,Op1030,Thi-box,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_13210
