,nupC
Cr_1,0.0137485825382206
Cr_2,0.03399548382061207
Cr_3,0.046208669962567665
Cr_4,0.052342806652248296
Cr_5,0.06097045595753959
Cr_6,0.07557369103194035
Fe_1,-0.004733130718711604
Fe_2,0.008893633590832915
Fe_3,0.03128644583685244
Fe_4,0.04639675986392544
Fe_5,0.05479844162532437
Fe_6,0.05852479489749246
Cd_1,-0.028760747863109462
Cd_2,-0.047736620549433485
Cd_3,-0.06296811307017282
Cd_4,-0.07487501897929251
Cd_5,-0.09269471459647614
Cd_6,-0.1074231848771832
Zn_1,0.00031408926593452937
Zn_2,0.012638932060780638
Zn_3,0.027828710472679864
Zn_4,0.041117811504384594
Zn_5,0.056905601787025265
Zn_6,0.06460472955501542
Cu_1,-0.0011878475825278256
Cu_2,0.0038297996090008103
Cu_3,0.010282250035903313
Cu_4,0.022002532968765573
Cu_5,0.036930806239945636
Cu_6,0.0512678704346385
Pb_1,-0.004669349328904507
Pb_2,-0.009794751469342123
Pb_3,-0.012091026499609818
Pb_4,-0.0155819825913954
Pb_5,-0.02053536693286717
Pb_6,-0.02110975177356269
