,fumB
Cr_1,-0.011138789180095423
Cr_2,-0.016511457932182828
Cr_3,-0.007139288468332416
Cr_4,0.008216316752166577
Cr_5,0.014025589495333477
Cr_6,0.015409323546091053
Fe_1,-0.01430415078958147
Fe_2,-0.009338354857773276
Fe_3,0.005953768862739681
Fe_4,0.005076707067682201
Fe_5,0.02278128176931693
Fe_6,0.03315469396999873
Cd_1,-0.003400389619812968
Cd_2,0.006555519613682651
Cd_3,0.005624593027801996
Cd_4,0.007445614672924166
Cd_5,0.006013576326585382
Cd_6,0.0014709956219128696
Zn_1,0.00018240684968395582
Zn_2,0.002696342124237353
Zn_3,0.006307782322271905
Zn_4,0.01573675653560937
Zn_5,0.021754845879544123
Zn_6,0.031665333934237615
Cu_1,-0.00026618116131073624
Cu_2,0.0044791246592016595
Cu_3,0.006136079308273114
Cu_4,0.008869617666099167
Cu_5,0.01872242608169722
Cu_6,0.02529220802528748
Pb_1,-0.0015121091708157955
Pb_2,0.0032040331299162624
Pb_3,0.01697773381576826
Pb_4,0.025394565099024286
Pb_5,0.0289038512311183
Pb_6,0.04167228474070254
