,gst
Cr_1,-0.004928057838724546
Cr_2,-0.003631291564575319
Cr_3,-0.0011475713978888785
Cr_4,-0.004479188466235039
Cr_5,-0.008632791746567005
Cr_6,-0.014517480477257944
Fe_1,-0.04844343430661952
Fe_2,-0.1362121029398491
Fe_3,-0.2334283072828953
Fe_4,-0.3190036935752789
Fe_5,-0.4045065163809541
Fe_6,-0.4752769247522902
Cd_1,0.0005480725011846843
Cd_2,0.002153452018525225
Cd_3,0.002495087641623745
Cd_4,0.008042717901182295
Cd_5,0.006958536653787285
Cd_6,0.010452935881773094
Zn_1,-0.007444718893179014
Zn_2,-0.012298797848112249
Zn_3,-0.02188480817784363
Zn_4,-0.02665273081576496
Zn_5,-0.02767900998817309
Zn_6,-0.021824811361392672
Cu_1,0.01121982024388945
Cu_2,0.01984510172128633
Cu_3,0.025091919576757462
Cu_4,0.032133167429593185
Cu_5,0.04267761249109423
Cu_6,0.04902071784116106
Pb_1,0.0008834537954813532
Pb_2,0.008825761391080343
Pb_3,0.019588500449219646
Pb_4,0.02964605655127942
Pb_5,0.04602432716088597
Pb_6,0.06288802579410692
