,condition,A_avg,A_std,n,rep1_idx,rep1_A
0,Cr__1,0.009783834097906945,,1.0,0.0,0.009783834097906945
1,Cr__2,0.011643024105578659,,1.0,1.0,0.011643024105578659
2,Cr__3,0.008860154701396823,,1.0,2.0,0.008860154701396823
3,Cr__4,0.04941534496843815,,1.0,3.0,0.04941534496843815
4,Cr__5,0.08017809554934502,,1.0,4.0,0.08017809554934502
5,Cr__6,0.08666265919804574,,1.0,5.0,0.08666265919804574
6,Fe__1,-0.04941854845732449,,1.0,6.0,-0.04941854845732449
7,Fe__2,-0.020115342438220975,,1.0,7.0,-0.020115342438220975
8,Fe__3,-0.03542476993054152,,1.0,8.0,-0.03542476993054152
9,Fe__4,-0.049807188734412186,,1.0,9.0,-0.049807188734412186
10,Fe__5,-0.06514485858380795,,1.0,10.0,-0.06514485858380795
11,Fe__6,-0.09590381719172,,1.0,11.0,-0.09590381719172
12,Cd__1,0.0026955919852480288,,1.0,12.0,0.0026955919852480288
13,Cd__2,0.031954559274017816,,1.0,13.0,0.031954559274017816
14,Cd__3,0.035540550239384176,,1.0,14.0,0.035540550239384176
15,Cd__4,0.07084731839597225,,1.0,15.0,0.07084731839597225
16,Cd__5,0.05645926009863615,,1.0,16.0,0.05645926009863615
17,Cd__6,0.057624699696898464,,1.0,17.0,0.057624699696898464
18,Zn__1,0.05084406990557909,,1.0,18.0,0.05084406990557909
19,Zn__2,0.2385427337884903,,1.0,19.0,0.2385427337884903
20,Zn__3,0.3984933432936668,,1.0,20.0,0.3984933432936668
21,Zn__4,0.4712319484353065,,1.0,21.0,0.4712319484353065
22,Zn__5,0.5120591193437576,,1.0,22.0,0.5120591193437576
23,Zn__6,0.4940704390406608,,1.0,23.0,0.4940704390406608
24,Cu__1,0.07163060843944549,,1.0,24.0,0.07163060843944549
25,Cu__2,0.044204113148152833,,1.0,25.0,0.044204113148152833
26,Cu__3,0.07137543559074402,,1.0,26.0,0.07137543559074402
27,Cu__4,0.07412483111023903,,1.0,27.0,0.07412483111023903
28,Cu__5,0.11959813706576825,,1.0,28.0,0.11959813706576825
29,Cu__6,0.18349846214056012,,1.0,29.0,0.18349846214056012
30,Pb__1,0.8959277391433715,,1.0,30.0,0.8959277391433715
31,Pb__2,0.6509177535772324,,1.0,31.0,0.6509177535772324
32,Pb__3,1.1806241512298583,,1.0,32.0,1.1806241512298583
33,Pb__4,1.6832811629772186,,1.0,33.0,1.6832811629772186
34,Pb__5,2.135819437503814,,1.0,34.0,2.135819437503814
35,Pb__6,2.54562126159668,,1.0,35.0,2.54562126159668
