,osmB
Cr_1,-0.0029846835386273035
Cr_2,-0.00446182325267931
Cr_3,-0.00630922851009758
Cr_4,-0.010183526926121057
Cr_5,-0.014871551700899774
Cr_6,-0.025212819907522617
Fe_1,0.0037042075838246437
Fe_2,0.011028139887828331
Fe_3,0.009454411597313445
Fe_4,-0.003921933238064203
Fe_5,-0.016349700298239296
Fe_6,-0.024419277296300536
Cd_1,0.005098747389827954
Cd_2,0.009240322194921616
Cd_3,0.01234021144220343
Cd_4,0.03170262006122742
Cd_5,0.0651354651468251
Cd_6,0.12694323033195595
Zn_1,0.00222047652375353
Zn_2,0.004901604315044414
Zn_3,0.0023173304197138893
Zn_4,0.0004018096888574227
Zn_5,-0.007039403307130356
Zn_6,-0.016302558139145905
Cu_1,-0.0757976740585936
Cu_2,-0.10857947406045076
Cu_3,-0.11090332761422614
Cu_4,-0.14217591403136667
Cu_5,-0.0902183013667574
Cu_6,-0.03996890142748573
Pb_1,0.0019164401382069914
Pb_2,0.004506073907439509
Pb_3,0.005328330360699592
Pb_4,0.007539760892481961
Pb_5,0.012375691928092328
Pb_6,0.018718722325865817
