,emrA
Cr_1,0.002877828154680182
Cr_2,-0.014401245426775119
Cr_3,-0.009175665348590758
Cr_4,0.013526674788524515
Cr_5,0.02002089969036746
Cr_6,0.01692858343534007
Fe_1,-0.023152158471917855
Fe_2,-0.06578333985668994
Fe_3,-0.09109923019764736
Fe_4,-0.12067312774428215
Fe_5,-0.14605671593231434
Fe_6,-0.15137374655091285
Cd_1,0.008077827169310608
Cd_2,0.017657721430425027
Cd_3,0.02957598259943687
Cd_4,0.03820270576499903
Cd_5,0.0321690635932919
Cd_6,0.039590000749746466
Zn_1,-0.009849805544422935
Zn_2,0.0722203307617099
Zn_3,0.03268698109924459
Zn_4,0.035132830601566904
Zn_5,0.04047365318505432
Zn_6,0.00025181272846700034
Cu_1,0.014408151896870404
Cu_2,0.02833255697481866
Cu_3,0.03066513387628605
Cu_4,0.028746957332881476
Cu_5,0.03462394564746536
Cu_6,0.0402954191615266
Pb_1,0.011544120571229414
Pb_2,0.01577222056752644
Pb_3,0.00298393966191
Pb_4,0.004949490461796539
Pb_5,0.007753632289261865
Pb_6,0.020409407348540284
