,yffS
Cr_1,-0.006788311405187723
Cr_2,-0.009036636411036148
Cr_3,-0.006342139865748563
Cr_4,-0.0074649468265535765
Cr_5,-0.010585342114935463
Cr_6,-0.01527821568473818
Fe_1,-0.0041728555035193855
Fe_2,0.01480452673653914
Fe_3,0.03308565948868622
Fe_4,0.04502861882160858
Fe_5,0.058503099047584085
Fe_6,0.06553918860508512
Cd_1,-0.0002585503624813389
Cd_2,0.002252222752583232
Cd_3,0.005749919573676004
Cd_4,0.008358245276789857
Cd_5,0.011623821621944459
Cd_6,0.021199261124987958
Zn_1,0.0026166758784856433
Zn_2,0.014841439300670403
Zn_3,0.043661541600824416
Zn_4,0.07197459665977989
Zn_5,0.10015343352385048
Zn_6,0.1230869720816981
Cu_1,-6.561906676594456e-05
Cu_2,0.0030198294041665578
Cu_3,0.007211926107691916
Cu_4,0.01142320288286592
Cu_5,0.010613855859085863
Cu_6,0.006165530420273293
Pb_1,0.03185584007153075
Pb_2,0.06889203499076292
Pb_3,0.10313087546773683
Pb_4,0.1236695478595876
Pb_5,0.1345643037492539
Pb_6,0.153689977276928
