,ada
Cr_1,-0.0037048359067440905
Cr_2,-0.0009569109375933552
Cr_3,0.006217814742359593
Cr_4,0.013199660600631262
Cr_5,0.02523758665234816
Cr_6,0.026951591761685642
Fe_1,-0.034452047396918636
Fe_2,-0.09589411749222476
Fe_3,-0.17313466060331578
Fe_4,-0.2569710260523519
Fe_5,-0.3197235858494413
Fe_6,-0.3709002830069799
Cd_1,0.0024612290164589485
Cd_2,0.007069104574824623
Cd_3,0.013180750465435957
Cd_4,0.018728577956976328
Cd_5,0.0127258855272043
Cd_6,0.016608992406690424
Zn_1,-0.008408052531595935
Zn_2,-0.01851449933975136
Zn_3,-0.013343717768523241
Zn_4,-0.011310130432904771
Zn_5,0.006296802643777589
Zn_6,0.013891806774476071
Cu_1,0.004992440950122874
Cu_2,0.016617765683371928
Cu_3,0.02191822565440488
Cu_4,0.02924466045159574
Cu_5,0.038853559419647805
Cu_6,0.04686770635655136
Pb_1,0.004298183023420264
Pb_2,0.013759981168565224
Pb_3,0.02214367121156162
Pb_4,0.03589144591895866
Pb_5,0.0547285088066455
Pb_6,0.07301405020637268
