,deoR
Cr_1,0.0071054938892083485
Cr_2,0.018131917574496868
Cr_3,0.03143500151779087
Cr_4,0.04267118470092821
Cr_5,0.05174256584921681
Cr_6,0.056475520945470224
Fe_1,-0.0035176365944929837
Fe_2,0.0004898939512911723
Fe_3,0.007706948120088166
Fe_4,0.01249367023399036
Fe_5,0.02264697943714912
Fe_6,0.033583941051959706
Cd_1,0.17406733205302802
Cd_2,0.2189434002222604
Cd_3,0.3836318483304289
Cd_4,0.4641581101807369
Cd_5,0.5587937128885518
Cd_6,0.6899609536299648
Zn_1,0.003804156528992711
Zn_2,0.013854886850349009
Zn_3,0.043278588463160086
Zn_4,0.0737284976374635
Zn_5,0.103497537549084
Zn_6,0.1275514516233541
Cu_1,0.005923890853962544
Cu_2,0.008327227421541065
Cu_3,0.013615088939705243
Cu_4,0.018370294738332533
Cu_5,0.024935537608914395
Cu_6,0.03042582832589001
Pb_1,0.006229737401872376
Pb_2,0.00911664759550745
Pb_3,0.005699902801221697
Pb_4,0.01049093962074388
Pb_5,0.007153250606022964
Pb_6,0.0030644290588054783
