,A,GadE,GadW,GadX
R2,,0.782314826639263,0.6607505648918396,0.657394633336743
xmin,,-7.303250722,-6.553144841,-7.9997220445
xmid,,-4.042371591945233,-1.4907565352541101,-1.595978974774751
xmax,,4.247838628,3.201331527,2.5072357755
ystart,,-6.151414426229004,-6.027816292670731,-5.84411456850465
yend,,6.9897762432349255,8.87952065441619,7.860274013563924
control__wt_glc__1,0.2633800542,0.040858297,0.06424297200000001,0.0503456065
control__wt_glc__2,-0.2633800542,-0.040858297,-0.06424297200000001,-0.0503456065
fur__wt_dpd__1,3.272138574,2.384150661,0.016480986,0.0018779745
fur__wt_dpd__2,2.4670918452,2.313884721,-0.14052072300000001,-0.2226567355
fur__wt_fe__1,0.8388743182,-0.31164927400000003,-0.053599875000000005,-0.2452050735
fur__wt_fe__2,0.8261176516000001,-0.410002937,-0.194293297,-0.2742061615
fur__delfur_dpd__1,4.3697990237,2.671764103,0.47346385900000004,0.4358068685
fur__delfur_dpd__2,3.7984946989,2.689400198,0.49502830700000006,0.5825835075
fur__delfur_fe2__1,-0.3237672493,-0.16504278800000002,-0.628317933,-0.19165281050000002
fur__delfur_fe2__2,0.0213933159,0.0014550250000000002,-0.51094127,-0.2312257125
acid__wt_ph5__1,4.550098834,2.043199042,1.183885023,0.7887973085000001
acid__wt_ph5__2,4.5197786225000005,2.145281727,1.21022007,0.7702489965
acid__delgadx_ph5__2,0.7110826645,1.429521619,3.201331527,-7.9997220445
acid__delgadw_ph5__1,3.1574330722,2.346173817,-6.023342154,1.1232866215
acid__delgadw_ph5__2,2.8565886023,2.331624076,-6.553144841,1.0822689865
acid__delgade_ph5__1,5.3539499367,-7.066735297,1.236608188,0.7466471415
acid__delgade_ph5__2,5.7003488167,-7.303250722,1.119526342,0.6977910975
oxidative__wt_pq__1,2.2900057852,1.432743456,-0.202981351,-1.0220851425
oxidative__wt_pq__2,2.2802745955,1.2542347600000001,-0.421498635,-1.0583158675
oxidative__deloxyr_pq__1,1.2044602211,1.092263134,-0.031181392000000002,-0.4701019115
oxidative__deloxyr_pq__2,1.5371564694000002,1.322511217,-0.171378785,-0.44007057250000003
oxidative__delsoxr_pq__1,3.6073344085,1.9804979980000001,-0.158629813,-1.1171747125
oxidative__delsoxr_pq__2,3.5114992706,1.751442595,-0.101468362,-1.0342160025
oxidative__delsoxs_pq__1,3.5176747024,2.242505628,0.381916831,-0.6086542565
oxidative__delsoxs_pq__2,3.971947759,2.250634833,0.255380714,-0.7181850405
nac_ntrc__wt_csn__1,1.8582650553,2.730842548,-0.12680923800000002,0.8083707765
nac_ntrc__wt_csn__2,1.5083803302,2.681721871,-0.051973411000000004,0.7844004705000001
nac_ntrc__wt_cytd__1,-0.8804648672000001,-1.683812888,0.933452206,-0.6108441465000001
nac_ntrc__wt_cytd__2,-1.0011744966,-1.6199002930000002,0.811081625,-0.6173364105
nac_ntrc__wt_gln__1,3.6000105463,2.496583519,1.437062345,0.8968826825
nac_ntrc__wt_gln__2,3.722353613,2.631553702,1.351842725,0.8132582565
nac_ntrc__bw_delnac_csn__1,1.0601789096,1.616603709,-0.703432594,0.5021608385
nac_ntrc__bw_delnac_csn__2,2.3579615854,-0.6929160520000001,-1.413505335,-0.5769943865
