,-0.1753147652666667,-0.15026979880000002,-0.12522483233333334,-0.10017986586666666,-0.07513489939999998,-0.0500899329333333,-0.025044966466666624,5.551115123125783e-17,0.025044966466666735,0.050089932933333414,0.0751348994000001,0.1001798658666668,0.12522483233333345,0.1502697988000001,0.1753147652666668,0.20035973173333352,0.22540469820000017,0.25044966466666685,0.2754946311333335,0.30053959760000026
thresh,-0.11270234910000002,0.11270234910000002,6,,,,,,,,,,,,,,,,,
unreg,1,0,0,0,0,26,425,3305,378,23,1,0,0,0,0,0,0,0,0,0
GadX,0,0,0,0,0,0,3,12,1,0,0,0,0,0,1,0,0,1,0,0
GadE,0,0,0,0,0,0,0,18,1,1,0,0,0,0,0,0,0,0,0,0
GadX and GadE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
GadX and GadW,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
"GadX, GadE, and GadW",0,0,0,0,1,0,2,1,1,1,0,0,0,3,0,1,0,0,0,0
unreg_genes,['rcsB'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
GadX_genes,[],[],[],[],[],[],['cadA' 'cadB' 'glnK'],"['ynfB' 'uspE' 'dtpA' 'rpoS' 'speG' 'btuB' 'ydeN' 'amtB' 'lon' 'asnB'
 'hns' 'murI']",['ydeM'],[],[],[],[],[],['ybaT'],[],[],['glsA'],[],[]
GadE_genes,[],[],[],[],[],[],[],"['rcsA' 'gltB' 'cyoA' 'cyoD' 'fabZ' 'lpxA' 'cyoB' 'lpxD' 'cyoC' 'gnd'
 'gltD' 'skp' 'cyoE' 'fliC' 'gltF' 'lrp' 'yjbQ' 'yjbR']",['purA'],['yhiM'],[],[],[],[],[],[],[],[],[],[]
GadX and GadE_genes,[],[],[],[],[],[],[],['hdeD'],[],[],[],[],[],[],[],[],[],[],[],[]
GadX and GadW_genes,[],[],[],[],[],[],[],[],['gadA'],[],[],[],[],[],[],[],[],['dctR'],['slp'],[]
"GadX, GadE, and GadW_genes",[],[],[],[],['hdeB'],[],['hdeA' 'yhiD'],['gadC'],['gadB'],['gadE'],[],[],[],['gadW' 'mdtF' 'gadX'],[],['mdtE'],[],[],[],[]
