,ilvY
Cr_1,0.0018350714504315737
Cr_2,0.0071296423343031705
Cr_3,0.015663298313772608
Cr_4,0.023632134351554188
Cr_5,0.032303545601561984
Cr_6,0.04165343065883182
Fe_1,-0.00619805432121819
Fe_2,-0.015822695385829373
Fe_3,-0.019247521036676797
Fe_4,-0.02215615378622899
Fe_5,-0.016692804059972744
Fe_6,-0.013877988159136092
Cd_1,0.01117070572776154
Cd_2,0.010968123217462834
Cd_3,0.013377916258720096
Cd_4,0.02206975181792146
Cd_5,0.04269670625529375
Cd_6,0.031267977002524844
Zn_1,-0.0005365829821399684
Zn_2,0.004323074965130721
Zn_3,0.014045137729259432
Zn_4,0.02746542179210068
Zn_5,0.04501389139174677
Zn_6,0.05883398792295756
Cu_1,0.0059684057666947
Cu_2,0.010778875017891505
Cu_3,0.020300232694379416
Cu_4,0.024380667799277743
Cu_5,0.03143019814481488
Cu_6,0.03927739471345303
Pb_1,0.006257150228572538
Pb_2,0.015068964088039687
Pb_3,0.02713477372411024
Pb_4,0.03841245724922706
Pb_5,0.052733341704678575
Pb_6,0.06756109302499666
