,poxB
Cr_1,0.005267259715786939
Cr_2,0.013558488631591752
Cr_3,0.02484941951916749
Cr_4,0.035798691823764994
Cr_5,0.04717967044868646
Cr_6,0.05660716160112391
Fe_1,-0.007152755271041728
Fe_2,-0.02891094166770467
Fe_3,-0.05144673900842715
Fe_4,-0.08235877712905633
Fe_5,-0.10799579446818723
Fe_6,-0.12174303457841325
Cd_1,0.0008207456363938585
Cd_2,0.0033036000931229038
Cd_3,0.0072039614783796545
Cd_4,0.01058744780131142
Cd_5,0.010016815855981943
Cd_6,0.013043832333689815
Zn_1,-0.007793148086157869
Zn_2,-0.008439875569760811
Zn_3,-0.008981594417832705
Zn_4,-0.003910592429912861
Zn_5,-0.000751598249153381
Zn_6,-0.0017003519714865938
Cu_1,0.003623916319833617
Cu_2,0.006943184286629559
Cu_3,0.008099343786889028
Cu_4,0.009860405015064359
Cu_5,0.013330494400106469
Cu_6,0.018558627865090684
Pb_1,0.011270662103167552
Pb_2,0.02126112810272435
Pb_3,0.03507348387272164
Pb_4,0.05022364569945262
Pb_5,0.06408073927361292
Pb_6,0.07525738940328837
