,fimD
Cr_1,-0.0008801908480276828
Cr_2,-0.0003846546107061188
Cr_3,-9.906097403030394e-05
Cr_4,-0.0014417923924951942
Cr_5,-0.0012169164044337367
Cr_6,-0.0044636460185131024
Fe_1,-0.011411146341181476
Fe_2,-0.035829215328850875
Fe_3,-0.06142141171844881
Fe_4,-0.09147015340015632
Fe_5,-0.1128528363462502
Fe_6,-0.1275771622114117
Cd_1,0.0027969678024066984
Cd_2,0.006677452548149849
Cd_3,0.0074708779622377815
Cd_4,0.01784976387946537
Cd_5,0.017637720164910012
Cd_6,0.022964358536257216
Zn_1,0.008950474405656305
Zn_2,0.030871696300970544
Zn_3,0.05370990184604904
Zn_4,0.08883692022406778
Zn_5,0.11135716494285486
Zn_6,0.11993698737809053
Cu_1,0.0047902602556267795
Cu_2,0.016771129828589554
Cu_3,0.025671161298506828
Cu_4,0.0328149077387782
Cu_5,0.03913879164190266
Cu_6,0.04459079406255557
Pb_1,0.002489836585998
Pb_2,0.009366058024515634
Pb_3,0.019309424128494467
Pb_4,0.027387762778355768
Pb_5,0.033412446794957064
Pb_6,0.041820596767397855
