,A,Crp,Mlc
R2,,0.1309148852328904,0.11677340203670161
xmin,,-9.852476477,-2.0014796245
xmid,,-0.9035445319537102,0.5837288659285019
xmax,,1.6003325529999999,2.5106558625
ystart,,-2.818485898066733,-0.5489708869365235
yend,,2.4796051817456455,6.331325927213841
control__wt_glc__1,0.181027338,0.012478646000000001,-0.0905433395
control__wt_glc__2,-0.181027338,-0.012478646000000001,0.0905433395
fur__wt_dpd__1,-0.41871704400000004,0.077574131,-0.5513163935000001
fur__wt_dpd__2,-1.0692356422,-0.090682171,-0.5576248425
fur__wt_fe__1,0.4008928486,-0.030513673,-0.2275249835
fur__wt_fe__2,0.7430424855000001,0.05819072,-0.2137677845
fur__delfur_dpd__1,-0.0849803538,-0.105981984,-0.6384579065
fur__delfur_dpd__2,-0.7014668156,-0.22346684100000003,-0.6227482335
fur__delfur_fe2__1,-0.1284792346,0.436429913,-0.09707141350000001
fur__delfur_fe2__2,0.2338897715,0.367563393,-0.1406100795
acid__wt_ph5__1,0.1254818892,0.345522573,-0.19875638950000002
acid__wt_ph5__2,0.0612787225,0.343136463,-0.0170538585
acid__delgadx_ph5__2,0.1535015227,0.33938771300000004,-0.3334123925
acid__delgadw_ph5__1,0.6704550627,0.383863793,-0.1181862895
acid__delgadw_ph5__2,0.3529866649,0.33986178300000003,-0.22814243250000002
acid__delgade_ph5__1,0.26961042690000003,0.43240872300000005,0.0826299595
acid__delgade_ph5__2,0.3665730527,0.482436193,-0.0025192695
oxidative__wt_pq__1,1.91489961,0.17662370300000002,0.3352357975
oxidative__wt_pq__2,1.8525736488,0.24038529300000003,-0.0050075955
oxidative__deloxyr_pq__1,1.1026940021,0.513155013,0.4249680555
oxidative__deloxyr_pq__2,0.8731943011000001,0.536337303,0.3550561215
oxidative__delsoxr_pq__1,1.569661513,0.334672533,0.21540755050000002
oxidative__delsoxr_pq__2,1.4808816207,0.387059873,0.2133558915
oxidative__delsoxs_pq__1,1.8516242668,0.513462963,0.2481949005
oxidative__delsoxs_pq__2,2.2788054775,0.5104807530000001,0.3441657685
