,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A,rep5_idx,rep5_A,rep6_idx,rep6_A,rep7_idx,rep7_A,rep8_idx,rep8_A
0,LB__LBexp,5.1164728099,2.745061211729719,3.0,0.0,8.2302575623,1.0,4.0730192742,2.0,3.0461415932,,,,,,,,,,
1,LB__LBtran,-6.0021784365,3.8049596881897076,3.0,3.0,-10.3860464229,4.0,-4.0632154636,5.0,-3.557273423,,,,,,,,,,
2,LB__LBstat,0.6870268407000001,0.4532826574034952,3.0,6.0,0.1988483503,7.0,1.0945984661,8.0,0.7676337057,,,,,,,,,,
3,LB__LBGexp,4.534145670766667,1.4272745936782958,3.0,9.0,2.9921586710000003,10.0,5.8089445251,11.0,4.8013338162,,,,,,,,,,
4,LB__LBGtran,-1.29479897995,0.32747330546234804,2.0,12.0,-1.063240385,13.0,-1.5263575749,,,,,,,,,,,,
5,LB__LBGstat,6.8319908747,6.605483304222337,3.0,14.0,9.3240577233,15.0,11.828922435,16.0,-0.6570075342,,,,,,,,,,
6,Life Cycle__S0,-3.7541148725333335,1.0426864927652033,3.0,17.0,-2.973982587,18.0,-3.3499893917,19.0,-4.9383726389,,,,,,,,,,
7,Life Cycle__S1,0.9771084653666667,0.9254331669570267,3.0,20.0,0.4807048253,21.0,0.40578962300000004,22.0,2.0448309478,,,,,,,,,,
8,Life Cycle__S2,-4.462028353466667,0.3456338812560686,3.0,23.0,-4.2228145098,24.0,-4.8583035471,25.0,-4.3049670035,,,,,,,,,,
9,Life Cycle__S3,-6.851093354550001,0.8708562756486193,2.0,26.0,-6.2353049766,27.0,-7.4668817325,,,,,,,,,,,,
10,Life Cycle__S4,-4.109675696966666,0.169357689409656,3.0,28.0,-4.2972093392,29.0,-4.0639232147,30.0,-3.9678945370000003,,,,,,,,,,
11,Life Cycle__S5,-1.3666302158333334,0.8928966727280273,3.0,31.0,-2.3703387864,32.0,-0.6605914620000001,33.0,-1.0689603991,,,,,,,,,,
12,Life Cycle__S6,4.556204163275,7.4341326915598245,8.0,34.0,1.5984267683,35.0,18.1955751744,36.0,1.8513870709,37.0,0.5461040278,38.0,14.6620142108,39.0,0.0552990686,40.0,0.267075732,41.0,-0.7262487466
