,yeaS
Cr_1,-0.00799286527119934
Cr_2,-0.016545136508438463
Cr_3,-0.025343655349687688
Cr_4,-0.03494696030508912
Cr_5,-0.042704963176692
Cr_6,-0.05309202331215617
Fe_1,-0.015607413560542972
Fe_2,-0.032276094872976585
Fe_3,-0.04492920488701517
Fe_4,-0.06405511810153923
Fe_5,-0.08995592701155078
Fe_6,-0.11408742237394133
Cd_1,0.003179810168831247
Cd_2,0.00585746843253476
Cd_3,0.007442749726516352
Cd_4,0.007437218849656741
Cd_5,0.0036337252362942493
Cd_6,0.008794268311392545
Zn_1,0.005850291068310962
Zn_2,0.012249843644393923
Zn_3,0.023861725254436132
Zn_4,0.04159567542947972
Zn_5,0.06297761950191116
Zn_6,0.08951366752234836
Cu_1,0.006297457882795231
Cu_2,0.016697638571808504
Cu_3,0.029825050937791937
Cu_4,0.040764967054578334
Cu_5,0.051210160322031927
Cu_6,0.056087117328818714
Pb_1,0.00474677771342451
Pb_2,0.011846750037718632
Pb_3,0.02133148371099387
Pb_4,0.031122713032159625
Pb_5,0.044089563548891035
Pb_6,0.055708061465098185
