,uvrD
Cr_1,-0.003226604660873786
Cr_2,-0.002469335432727848
Cr_3,0.0006412166624441242
Cr_4,0.005398381969680246
Cr_5,0.013367983536609424
Cr_6,0.018581139007131584
Fe_1,-0.013738800963558223
Fe_2,-0.0191310963122116
Fe_3,-0.03106677528145489
Fe_4,-0.043477611336602114
Fe_5,-0.06626002993069993
Fe_6,-0.08130683280181136
Cd_1,0.0027394487493877843
Cd_2,0.008409366478137814
Cd_3,0.015598405052537947
Cd_4,0.02215039473718632
Cd_5,0.027527358784296938
Cd_6,0.040606395826402714
Zn_1,0.02228105346791724
Zn_2,-0.0016197643396716071
Zn_3,0.00941827448844047
Zn_4,0.045309711873134165
Zn_5,0.06638648211165346
Zn_6,0.0602840599869797
Cu_1,-0.0048744232050027606
Cu_2,-0.009898481904645205
Cu_3,-0.011553922082240507
Cu_4,-0.008602051773968937
Cu_5,-0.007406641226466556
Cu_6,-0.0027718232593647103
Pb_1,-0.006879602736254482
Pb_2,0.0006573691705797051
Pb_3,0.011383682762036685
Pb_4,0.02266271157084002
Pb_5,0.03166882078087625
Pb_6,0.02706594504489817
