,condition,A_avg,A_std,n,rep1_idx,rep1_A
0,Cr__1,-0.005225589633919297,,1.0,0.0,-0.005225589633919297
1,Cr__2,-0.015053708152845503,,1.0,1.0,-0.015053708152845503
2,Cr__3,-0.007105969102121889,,1.0,2.0,-0.007105969102121889
3,Cr__4,0.0023106011410709477,,1.0,3.0,0.0023106011410709477
4,Cr__5,0.006154399449005723,,1.0,4.0,0.006154399449005723
5,Cr__6,-0.003095907595125027,,1.0,5.0,-0.003095907595125027
6,Fe__1,0.006942614139989018,,1.0,6.0,0.006942614139989018
7,Fe__2,-0.03559325048699975,,1.0,7.0,-0.03559325048699975
8,Fe__3,-0.04140945225954056,,1.0,8.0,-0.04140945225954056
9,Fe__4,-0.1074220898747444,,1.0,9.0,-0.1074220898747444
10,Fe__5,-0.16660838112235068,,1.0,10.0,-0.16660838112235068
11,Fe__6,-0.1815518307685852,,1.0,11.0,-0.1815518307685852
12,Cd__1,0.0024438405188266193,,1.0,12.0,0.0024438405188266193
13,Cd__2,-0.007197985975071788,,1.0,13.0,-0.007197985975071788
14,Cd__3,-0.011126265255734324,,1.0,14.0,-0.011126265255734324
15,Cd__4,-0.01849315145984292,,1.0,15.0,-0.01849315145984292
16,Cd__5,-0.03209977457299828,,1.0,16.0,-0.03209977457299828
17,Cd__6,-0.040224514342844485,,1.0,17.0,-0.040224514342844485
18,Zn__1,4.067780404090882,,1.0,18.0,4.067780404090882
19,Zn__2,4.1077399563789365,,1.0,19.0,4.1077399563789365
20,Zn__3,3.889632623195648,,1.0,20.0,3.889632623195648
21,Zn__4,3.615603787899017,,1.0,21.0,3.615603787899017
22,Zn__5,3.5265968585014345,,1.0,22.0,3.5265968585014345
23,Zn__6,3.404654839038849,,1.0,23.0,3.404654839038849
24,Cu__1,-0.00011523083364409103,,1.0,24.0,-0.00011523083364409103
25,Cu__2,0.00047657924376835585,,1.0,25.0,0.00047657924376835585
26,Cu__3,-0.00413657259894535,,1.0,26.0,-0.00413657259894535
27,Cu__4,-0.010696355914697052,,1.0,27.0,-0.010696355914697052
28,Cu__5,-0.01787836605682969,,1.0,28.0,-0.01787836605682969
29,Cu__6,-0.01881558056920767,,1.0,29.0,-0.01881558056920767
30,Pb__1,0.012760032154619691,,1.0,30.0,0.012760032154619691
31,Pb__2,0.013146790014579891,,1.0,31.0,0.013146790014579891
32,Pb__3,0.0181239659152925,,1.0,32.0,0.0181239659152925
33,Pb__4,0.01544071617536247,,1.0,33.0,0.01544071617536247
34,Pb__5,0.010287329619750379,,1.0,34.0,0.010287329619750379
35,Pb__6,-0.0033139454650518018,,1.0,35.0,-0.0033139454650518018
