,ydfA
Cr_1,0.002821696436433746
Cr_2,0.011221043791043786
Cr_3,0.023824505436127387
Cr_4,0.04011293209932043
Cr_5,0.06311092237656052
Cr_6,0.08529729274695827
Fe_1,-0.01210203244471184
Fe_2,-0.03934964722244196
Fe_3,-0.07274951039025948
Fe_4,-0.1087222282425911
Fe_5,-0.1387531215049845
Fe_6,-0.15197622884885215
Cd_1,0.0017029853113414725
Cd_2,0.0037639050401268603
Cd_3,0.0012831817009432494
Cd_4,0.001399599459333172
Cd_5,-0.007953091023669355
Cd_6,-0.004944243217862854
Zn_1,-0.00352616873716737
Zn_2,-0.0039311323826631255
Zn_3,-0.0015420409960372635
Zn_4,-0.00016556472315170672
Zn_5,0.0036739932978077
Zn_6,0.011186526316623705
Cu_1,-0.001196702595945853
Cu_2,-0.0018373456986064227
Cu_3,0.004039600747289224
Cu_4,0.015510998453971659
Cu_5,0.02464257257220733
Cu_6,0.032884472476367166
Pb_1,0.012129683191615559
Pb_2,0.02296990741729276
Pb_3,0.04368853085327346
Pb_4,0.061589585179931634
Pb_5,0.08424457873569731
Pb_6,0.10522395785621692
