k,name,in_iM,gene_weight,regulator,function,category
3,Cadmium,False,-0.006464309399016203,,,
11,Chromium,False,-0.00633100753184408,,,
10,Copper,False,-0.00462461495772004,,,
14,UC-7,False,-0.003376734384801239,,,
6,Iron,False,0.0028728408017195763,,,
0,UC-1,False,-0.0027038092561997478,,,
7,Zinc - Steady,False,-0.002185413242550566,,,
12,Zinc - Intermediate,False,-0.0017607320879911442,,,
2,UC-3,False,-0.0012563320447225126,,,
4,UC-4,False,-0.00121033864794299,,,
13,UC-6,False,-0.0011192239436786623,,,
5,Lead,False,-0.0007366282073780893,,,
8,Zinc - Fast,False,0.0007358525216113776,,,
9,UC-5,False,-0.00024125076458173666,,,
1,UC-2,False,0.00019286229318822733,,,
