,ycaI
Cr_1,-0.002735699650957356
Cr_2,-0.0012570086286069029
Cr_3,0.002307788298959724
Cr_4,0.005601676469037286
Cr_5,0.0014837564827583055
Cr_6,-0.0011186363377822164
Fe_1,-0.012594716746532559
Fe_2,-0.028527237212420925
Fe_3,-0.03514628451280771
Fe_4,-0.04390421578241269
Fe_5,-0.0459968321745752
Fe_6,-0.044476079369122984
Cd_1,-0.0016432669190988311
Cd_2,-0.0031631676133470074
Cd_3,-0.002560902814796435
Cd_4,-0.00027888489053126626
Cd_5,-0.0015649770255179976
Cd_6,0.002751002925284291
Zn_1,-0.00028739529303618063
Zn_2,-0.001284727146566504
Zn_3,0.0016000955164006336
Zn_4,0.010811819257724958
Zn_5,0.024637451814270833
Zn_6,0.033003174463028716
Cu_1,0.0030145348186925392
Cu_2,0.0011542730746751466
Cu_3,0.005779436746937477
Cu_4,0.0108445439126465
Cu_5,0.011312964600612456
Cu_6,0.016349620863689417
Pb_1,0.0074368516669671095
Pb_2,0.011839142664478188
Pb_3,0.015480148201811171
Pb_4,0.02194680747194647
Pb_5,0.026546946832340348
Pb_6,0.028272667429495513
