,-0.11379665860140299,-0.09753999308691685,-0.08128332757243072,-0.06502666205794458,-0.04876999654345844,-0.0325133310289723,-0.016256665514486165,-2.7755575615628914e-17,0.01625666551448611,0.032513331028972234,0.048769996543458385,0.06502666205794454,0.08128332757243066,0.09753999308691678,0.11379665860140294,0.1300533241158891,0.14630998963037523,0.16256665514486135,0.17882332065934747,0.19507998617383365
thresh,-0.12192499135864607,0.12192499135864607,1,,,,,,,,,,,,,,,,,
unreg,0,0,0,5,18,127,818,2289,839,89,11,4,1,1,1,2,3,2,1,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['atpI' 'atpD'],['atpB' 'atpA' 'atpG'],['atpH' 'atpF'],['atpE'],[]
