,iModulon,Gene
0,0,new_2886135_2886266_c
1,0,BSU_35060
2,0,BSU_35070
3,0,new_3604568_3604754_c
4,0,new_3604923_3604992
5,0,BSU_35080
6,0,BSU_35090
7,1,BSU_10270
8,1,BSU_14060
9,1,new_1478837_1478985
10,1,new_1478987_1479136
11,1,BSU_14071
12,1,BSU_14072
13,1,BSU_28520
14,1,BSU_28530
15,1,BSU_28540
16,1,BSU_28550
17,1,BSU_32820
18,1,BSU_32830
19,1,BSU_32840
20,1,new_3813168_3813245_c
21,1,BSU_37170
22,1,BSU_37180
23,1,new_3816500_3816558_c
24,2,BSU_03010
25,2,new_325190_325277_c
26,2,BSU_03020
27,2,new_1023253_1023349
28,2,BSU_09460
29,2,BSU_10450
30,2,BSU_10460
31,2,BSU_11360
32,2,BSU_11370
33,2,BSU_11390
34,2,BSU_11400
35,2,BSU_12920
36,2,BSU_12930
37,2,BSU_12940
38,2,BSU_12950
39,2,BSU_12960
40,2,BSU_12970
41,2,BSU_12980
42,2,BSU_12990
43,2,BSU_13000
44,2,new_1461473_1462812_c
45,2,BSU_13940
46,2,BSU_19350
47,2,BSU_28680
48,2,new_3239640_3239929
49,2,BSU_31540
50,2,BSU_31550
51,2,BSU_31560
52,2,BSU_31570
53,2,new_3244617_3244738
54,2,BSU_32090
55,2,new_3769109_3769193_c
56,2,BSU_38090
57,2,BSU_39880
58,2,new_4096991_4097415
59,2,BSU_39890
60,2,BSU_39900
61,2,BSU_39910
62,2,BSU_39920
63,2,BSU_39930
64,3,BSU_08060
65,3,BSU_08070
66,3,BSU_08090
67,4,BSU_01730
68,4,BSU_01740
69,4,BSU_02310
70,4,BSU_04590
71,4,BSU_04600
72,4,new_514779_515106
73,4,BSU_06180
74,4,new_671929_671993
75,4,BSU_06190
76,4,BSU_06200
77,4,BSU_06210
78,4,BSU_06270
79,4,BSU_06280
80,4,BSU_06290
81,4,BSU_08760
82,4,BSU_12069
83,4,BSU_12420
84,4,new_1357486_1357852_c
85,4,BSU_14340
86,4,BSU_14350
87,4,BSU_14360
88,4,BSU_14370
89,4,BSU_17840
90,4,new_1917098_1917430
91,4,BSU_18590
92,4,new_2028580_2028675_c
93,4,new_2070120_2070243_c
94,4,BSU_18980
95,4,BSU_19290
96,4,new_2099791_2099863_c
97,4,new_2099865_2099968_c
98,4,BSU_25370
99,4,BSU_25380
100,4,BSU_25390
101,4,BSU_30000
102,4,BSU_30010
103,4,BSU_31000
104,4,BSU_31010
105,4,BSU_31020
106,4,BSU_34430
107,4,BSU_34440
108,4,BSU_35110
109,4,BSU_35120
110,4,BSU_35130
111,4,BSU_36090
112,4,new_3719173_3720884
113,4,BSU_38790
114,4,new_3983174_3984118
115,4,new_3996377_3996599
116,4,BSU_38940
117,5,BSU_24620
118,5,BSU_24630
119,5,BSU_24640
120,5,BSU_34220
121,5,BSU_34230
122,5,BSU_34240
123,5,BSU_34250
124,5,BSU_34265
125,5,BSU_34280
126,5,BSU_34290
127,5,BSU_34300
128,5,BSU_34310
129,5,BSU_34320
130,5,BSU_34330
131,5,BSU_34340
132,5,new_3528204_3528263_c
133,5,BSU_34360
134,5,BSU_34370
135,5,new_3529856_3529913_c
136,6,BSU_07570
137,6,BSU_31580
138,6,BSU_37040
139,6,BSU_37050
140,6,new_3802167_3802257_c
141,7,BSU_00170
142,7,BSU_00520
143,7,BSU_01830
144,7,BSU_01845
145,7,new_209557_209632
146,7,BSU_01860
147,7,BSU_02100
148,7,BSU_02110
149,7,BSU_02590
150,7,BSU_02830
151,7,BSU_02840
152,7,BSU_04039
153,7,BSU_04190
154,7,BSU_04200
155,7,BSU_04220
156,7,BSU_04340
157,7,BSU_04370
158,7,BSU_04380
159,7,BSU_04400
160,7,BSU_04430
161,7,BSU_04710
162,7,BSU_04720
163,7,BSU_04730
164,7,BSU_04740
165,7,BSU_05790
166,7,BSU_06590
167,7,BSU_06660
168,7,new_728319_728449_c
169,7,BSU_07550
170,7,BSU_07750
171,7,new_846186_849552
172,7,BSU_07850
173,7,BSU_07880
174,7,BSU_07890
175,7,BSU_07900
176,7,new_863681_863837
177,7,new_864500_865153
178,7,BSU_07920
179,7,BSU_07930
180,7,BSU_08570
181,7,new_929322_929389
182,7,BSU_08590
183,7,BSU_08600
184,7,BSU_09140
185,7,BSU_09290
186,7,new_1004835_1004923
187,7,new_1006655_1006728
188,7,BSU_09390
189,7,BSU_09530
190,7,BSU_09690
191,7,new_1116857_1117712_c
192,7,BSU_10430
193,7,new_1150464_1151119
194,7,new_1151121_1151285
195,7,BSU_11839
196,7,BSU_12150
197,7,BSU_12160
198,7,BSU_12170
199,7,BSU_13020
200,7,BSU_13160
201,7,BSU_13169
202,7,new_1382628_1383305
203,7,new_1430539_1430623
204,7,new_1537029_1537112
205,7,BSU_14660
206,7,BSU_18510
207,7,BSU_18520
208,7,BSU_19150
209,7,BSU_19240
210,7,BSU_24000
211,7,new_2560260_2560488_c
212,7,BSU_24740
213,7,BSU_24750
214,7,BSU_24760
215,7,new_2563803_2563987_c
216,7,BSU_24770
217,7,new_2586107_2586175_c
218,7,BSU_27760
219,7,BSU_28340
220,7,new_2913380_2913589_c
221,7,BSU_29760
222,7,BSU_30650
223,7,BSU_30700
224,7,BSU_30930
225,7,new_3224752_3224810
226,7,BSU_31380
227,7,new_3266637_3269004
228,7,BSU_32100
229,7,new_3301255_3301382_c
230,7,new_3301384_3301448_c
231,7,new_3307598_3308367
232,7,BSU_33410
233,7,BSU_33530
234,7,new_3460206_3462957
235,7,new_3546111_3546186
236,7,new_3615385_3615449_c
237,7,new_3669959_3672791
238,7,BSU_35830
239,7,new_3693907_3693970_c
240,7,BSU_35970
241,7,BSU_36670
242,7,new_3774188_3774399_c
243,7,BSU_36720
244,7,BSU_37210
245,7,BSU_37240
246,7,BSU_38180
247,7,BSU_38430
248,7,BSU_38610
249,7,BSU_38630
250,7,BSU_38830
251,7,new_3996629_3996729
252,7,BSU_39040
253,7,BSU_39050
254,7,BSU_39810
255,7,BSU_39840
256,7,BSU_40450
257,7,BSU_40529
258,7,BSU_40570
259,8,new_3823159_3823531_c
260,8,BSU_37250
261,8,BSU_37260
262,8,BSU_37270
263,8,BSU_37280
264,8,new_3830002_3830131_c
265,8,BSU_37290
266,8,BSU_37300
267,8,BSU_37320
268,9,BSU_03280
269,9,BSU_03290
270,9,BSU_03300
271,9,BSU_03940
272,9,BSU_03950
273,9,BSU_03960
274,9,BSU_04240
275,9,BSU_04510
276,9,new_505044_505113
277,9,BSU_04530
278,9,new_506502_506670_c
279,9,BSU_05720
280,9,new_679052_679349
281,9,new_697093_697156
282,9,BSU_06390
283,9,BSU_06560
284,9,BSU_07380
285,9,BSU_10120
286,9,BSU_10130
287,9,BSU_10140
288,9,new_1269672_1269732_c
289,9,BSU_11990
290,9,new_1278946_1279513_c
291,9,BSU_12080
292,9,BSU_13040
293,9,BSU_14870
294,9,BSU_14880
295,9,new_1560362_1560465
296,9,BSU_14890
297,9,BSU_14900
298,9,BSU_14910
299,9,BSU_14920
300,9,BSU_19140
301,9,BSU_20580
302,9,new_2415356_2415414_c
303,9,BSU_23110
304,9,BSU_23120
305,9,new_2417904_2417983_c
306,9,BSU_23130
307,9,BSU_23140
308,9,BSU_23150
309,9,BSU_26890
310,9,new_3136712_3136937_c
311,9,BSU_30660
312,9,BSU_33120
313,9,new_3464210_3464288
314,9,new_3780034_3780161_c
315,9,BSU_36780
316,9,new_3780393_3780655_c
317,9,BSU_36800
318,9,BSU_36810
319,9,BSU_36820
320,9,new_3786458_3786619_c
321,9,BSU_37310
322,9,BSU_37350
323,9,BSU_37360
324,9,BSU_37370
325,9,BSU_37380
326,9,BSU_37390
327,9,BSU_37400
328,9,BSU_37410
329,9,BSU_37420
330,9,BSU_37430
331,9,BSU_37670
332,9,new_3913898_3914008
333,9,BSU_38130
334,9,BSU_38140
335,9,BSU_38150
336,9,BSU_38160
337,9,BSU_38170
338,9,new_3918262_3918330_c
339,9,BSU_38730
340,9,BSU_38740
341,9,BSU_38750
342,9,BSU_39250
343,9,BSU_39940
344,10,new_327480_327617
345,10,BSU_03040
346,10,new_500046_500120
347,10,BSU_04470
348,10,new_676139_676441
349,10,BSU_06560
350,10,BSU_07800
351,10,BSU_08100
352,10,BSU_08110
353,10,new_1002410_1002500
354,10,BSU_09280
355,10,new_1056384_1056537
356,10,new_1056539_1056622
357,10,new_1150464_1151119
358,10,new_1151121_1151285
359,10,new_1270127_1270583_c
360,10,new_1398413_1398495
361,10,BSU_13340
362,10,new_1457005_1457156
363,10,BSU_13890
364,10,new_1485897_1486004
365,10,BSU_14629
366,10,BSU_15100
367,10,BSU_16110
368,10,new_1896225_1896423
369,10,BSU_17630
370,10,new_1929410_1929480
371,10,BSU_18010
372,10,new_2078627_2079084
373,10,new_2100447_2100579
374,10,BSU_22100
375,10,BSU_22540
376,10,BSU_22550
377,10,new_2381192_2381353_c
378,10,BSU_25190
379,10,new_2599926_2600047_c
380,10,new_2600049_2600188_c
381,10,new_2600050_2600154
382,10,BSU_27760
383,10,BSU_27770
384,10,BSU_28560
385,10,BSU_28710
386,10,BSU_29020
387,10,new_2978602_2978702_c
388,10,new_2989651_2989803_c
389,10,BSU_29680
390,10,BSU_29690
391,10,BSU_29700
392,10,BSU_29710
393,10,BSU_30260
394,10,BSU_30270
395,10,BSU_30560
396,10,BSU_31190
397,10,BSU_33950
398,10,new_3483775_3483886_c
399,10,new_3510674_3510779
400,10,BSU_34190
