,A,ComA
R2,,0.0167495857441049
xmin,,-3.0305453307398738
xmid,,0.6177060850096247
xmax,,2.1964237711988828
ystart,,-0.4582221780352107
yend,,-1.8524369034630945
amb:ctrl:1,0.3071426512700157,0.1451337468894831
amb:ctrl:2,0.30654069583572885,-0.17964614490009634
amb:ctrl:3,-0.6136833471057349,0.03451239801061323
amb:amb:1,-0.5901445587569227,-0.170590546808139
amb:amb:2,0.2496007683458577,-0.3157788289410659
amb:amb:3,-1.1647315172178074,-0.11835020312637655
ave1:ctrl_5m:1,0.490666374882869,0.07912611983402229
ave1:vdave1_5m:1,-1.1193813112205029,-0.3712448304275773
ave1:ctrl_20m:1,-0.3091039605667191,-0.13972981315797828
ave1:vdave1_20m:1,-0.2858876403036547,0.00485577085527833
ave1:supernatant_5m:1,-0.8898684105926791,-0.045523440547103
ave1:vnave1_20m:1,-0.20592967530580825,-0.1993621251387676
ave1:supernatant_20m:1,-0.4096041746843926,-0.1207633784301212
ave1:ctrl_5m:2,-0.4906663748828777,-0.07912611983402229
ave1:vdave1_5m:2,-0.316021455685024,-0.5580993051495096
ave1:ctrl_20m:2,-0.04793290302438834,-0.06680738950533183
ave1:vdave1_20m:2,-0.36677912283465297,0.003890641437478415
ave1:supernatant_5m:2,0.5935592920100732,-0.03617087305532074
ave1:vnave1_20m:2,0.06540467469846195,-0.13653260207409354
ave1:supernatant_20m:2,-0.038095574912816885,0.09782171833494502
biofilm_time:8h:1,0.05034066757504673,-0.03954455531467005
biofilm_time:8h:2,0.0167118379885775,-0.0010934013458712144
biofilm_time:8h:3,0.3988884880480741,0.023830482186360413
biofilm_time:8h:4,-0.4659409936116997,0.016807474474181742
biofilm_time:12h:1,0.005191786102566828,-0.8208054635900623
biofilm_time:12h:2,0.14944185681225053,-0.37571082723856986
biofilm_time:12h:3,-0.9878143119155371,-0.35811618041205584
biofilm_time:12h:4,-0.6024701140272023,-0.3165436300685505
biofilm_time:16h:1,-0.4411011550361485,-0.2499754652898716
biofilm_time:16h:2,-0.6891291101608775,-0.4676022297484312
biofilm_time:16h:3,-0.7104545975001109,-0.4309363022053008
biofilm_time:16h:4,-1.314520544590036,-0.502259075558773
biofilm_time:20h:1,-1.5861562272062335,0.017170160057768058
biofilm_time:20h:2,-1.7153874521129138,-0.10667592337910836
biofilm_time:20h:3,-1.3989635570936998,0.14535316625528427
biofilm_time:20h:4,-1.4098939380917943,-0.000596196272573124
