,A,XylR,Crp
R2,,0.5848261863818381,0.008413022137235604
xmin,,-4.6212118025,-9.852476477
xmid,,0.35072132800154376,0.18075052460899874
xmax,,5.6208131175,1.6003325529999994
ystart,,0.809238492636698,1.6065721509113267
yend,,31.960548810921562,-0.18854543632574505
control__wt_glc__1,0.0570306420264707,-0.021022661499999984,0.012478645999999928
control__wt_glc__2,-0.0570306420264847,0.021022661499999984,-0.012478645999999928
fur__wt_dpd__1,1.7789775092550777,-0.062049620500000735,0.07757413100000042
fur__wt_dpd__2,2.1396926023766443,-0.2289490085000008,-0.0906821709999992
fur__wt_fe__1,0.163465225242545,-0.0861196625000007,-0.030513672999999738
fur__wt_fe__2,0.4569005861952246,-0.07852045450000045,0.0581907200000007
fur__delfur_dpd__1,1.831999004485402,-0.1984341635,-0.10598198399999957
fur__delfur_dpd__2,1.9035319563379736,-0.32431356250000043,-0.22346684100000047
fur__delfur_fe2__1,1.1871836155458655,0.19277042449999995,0.4364299129999996
fur__delfur_fe2__2,0.795641096373474,0.1981758274999992,0.36756339300000107
acid__wt_ph5__1,0.311616046052883,0.021434613499999425,0.3455225730000002
acid__wt_ph5__2,0.4481434882503039,0.0010440804999998221,0.34313646300000045
acid__delgadx_ph5__2,0.6162292339821807,-0.1676055415000004,0.3393877130000007
acid__delgadw_ph5__1,0.5205000287438889,0.047923349499999546,0.3838637929999997
acid__delgadw_ph5__2,0.455622976506619,0.06990766149999939,0.3398617829999999
acid__delgade_ph5__1,0.6954664299363784,-0.07658959150000033,0.432408723
acid__delgade_ph5__2,0.2072141672396946,0.19483345350000025,0.4824361929999999
oxidative__wt_pq__1,2.719923869984308,0.4778243105,0.17662370300000066
oxidative__wt_pq__2,1.9364146351302325,0.6718043044999993,0.24038529300000103
oxidative__deloxyr_pq__1,1.9278251017864505,0.6059674985000001,0.5131550130000004
oxidative__deloxyr_pq__2,1.377092667093176,0.6572059074999999,0.5363373029999998
oxidative__delsoxr_pq__1,2.6073981320095867,0.38930454649999996,0.3346725330000009
oxidative__delsoxr_pq__2,2.599585525681805,0.2536901674999994,0.3870598730000001
oxidative__delsoxs_pq__1,2.8068259808568423,0.4753852254999993,0.5134629630000003
oxidative__delsoxs_pq__2,2.770264795953328,0.5474407744999992,0.5104807529999995
nac_ntrc__wt_csn__1,1.841932351652828,0.1440517004999995,-0.0727968299999997
nac_ntrc__wt_csn__2,1.6858354364716428,-0.013747064500000405,-0.09324395099999984
nac_ntrc__wt_cytd__1,0.9781473953765272,0.09324934749999958,-0.043119613
nac_ntrc__wt_cytd__2,0.5362584598522094,0.07269117449999918,-0.07348926000000056
nac_ntrc__wt_gln__1,1.5291292806054109,0.3666195734999995,0.16383650300000066
nac_ntrc__wt_gln__2,1.5200930471991052,0.3001566635000001,0.11651884599999995
nac_ntrc__bw_delnac_csn__1,3.3926591079689894,0.4014672674999993,0.16921202300000004
nac_ntrc__bw_delnac_csn__2,2.421101260171497,-0.15391190550000022,0.03216219000000109
nac_ntrc__bw_delnac_cytd__1,0.8472084490625628,0.04671019949999966,0.2936758630000007
nac_ntrc__bw_delnac_cytd__2,0.7479864026172808,0.08000834050000005,0.2286386530000009
nac_ntrc__bw_delnac_gln__1,1.5051263468947775,0.4470110454999992,0.5051051429999998
nac_ntrc__bw_delnac_gln__2,1.608713776541363,0.28212661849999954,0.563775123000001
