,A,GlpP
R2,,0.07461091672273956
xmin,,-4.143519097332273
xmid,,
xmax,,2.3715105303009043
ystart,,6.324091584230015
yend,,-6.623350609937386
amb:ctrl:1,-2.226111063404389,-0.20515516386263769
amb:ctrl:2,0.6565722844018216,0.025106016950703136
amb:ctrl:3,1.5695387790025588,0.18004914691193452
amb:amb:1,-1.678750270606287,-0.2548341044514668
amb:amb:2,0.2444804670908817,-0.0010343841538249519
amb:amb:3,2.0718143369324062,0.2627645805429353
ave1:ctrl_5m:1,-0.2486773202107597,-0.038694989176304866
ave1:vdave1_5m:1,-0.09324588735740076,-0.07703542342029658
ave1:ctrl_20m:1,-1.52657900730379,-0.00017383321306319033
ave1:vdave1_20m:1,-2.382852318277159,-0.2286406774355392
ave1:supernatant_5m:1,0.7552145207264324,-0.014396300403446638
ave1:vnave1_20m:1,-1.6602714004517716,-0.019220391281569604
ave1:supernatant_20m:1,-1.5258375752970286,0.006086221603919917
ave1:ctrl_5m:2,0.24867732021074698,0.038694989176304866
ave1:vdave1_5m:2,0.15988156700697867,0.07259526509439862
ave1:ctrl_20m:2,-1.3500864339063618,0.12303838817957136
ave1:vdave1_20m:2,-2.2230508197884964,-0.35149101917444003
ave1:supernatant_5m:2,0.3435816704717357,-0.015383714304300078
ave1:vnave1_20m:2,-1.6533639658337478,-0.03693124800482472
ave1:supernatant_20m:2,-1.4643605868971978,0.08705923869838106
biofilm_time:8h:1,-0.20929807739100334,-0.06275712227239437
biofilm_time:8h:2,0.04806234671217163,-0.0066080408482376285
biofilm_time:8h:3,0.12131977415584252,0.04647083735075608
biofilm_time:8h:4,0.03991595652297631,0.022894325769879487
biofilm_time:12h:1,-0.2282071056146607,-0.4612963729736501
biofilm_time:12h:2,1.6638498174875105,-0.22955999538921826
biofilm_time:12h:3,1.5444334462740184,-0.16283155135845195
biofilm_time:12h:4,1.8348326410517812,-0.22533423964072075
biofilm_time:16h:1,3.1509845107794634,-0.10312422870170668
biofilm_time:16h:2,3.359838568670965,-0.21937351801301294
biofilm_time:16h:3,2.7342096597901238,-0.10335178465493478
biofilm_time:16h:4,2.2325574618665023,0.11347779546542468
biofilm_time:20h:1,-3.4416480373798573,-0.2022292460796189
biofilm_time:20h:2,-2.09671670511452,-0.2872701470650965
biofilm_time:20h:3,-3.659544520783829,-0.12161422092741248
biofilm_time:20h:4,-2.8805583235660337,-0.3215051684817407
biofilm_time:24h:1,-4.480361928565125,-0.42605006781442256
biofilm_time:24h:2,-1.8589726126599244,-0.4000822667379378
biofilm_time:24h:3,-4.112838150398819,-0.6687771853645055
biofilm_time:24h:4,-2.60531016347032,-0.5722945256228611
biofilm_time:28h:1,-3.7944618739137965,0.16246395511705458
biofilm_time:28h:2,-1.9955474260591808,-0.4126153508702055
biofilm_time:28h:3,-1.441984757362811,-0.399509959775382
biofilm_time:28h:4,-3.8609334289565913,-0.3449234671983463
biofilm_time:32h:1,-1.088495739123185,-0.522474968568984
biofilm_time:32h:2,-2.5706830536564063,-0.36981062469102177
biofilm_time:32h:3,-2.707561649095291,-0.11183350853663487
biofilm_time:32h:4,-2.0082310119869207,-0.326392424333422
codY:wt:1,0.3630455794797935,-0.2405985170419349
codY:wt:2,-0.3630455794798166,0.2405985170419358
codY:ctrl:1,-1.032225539448485,-0.11966168600296535
codY:ctrl:2,-0.9512712660190672,0.25189805253934505
codY:codYR61K:1,-0.16403645886289647,-0.2926517375925455
codY:codYR61K:2,-0.25758344582895104,0.23503527594358345
codY:codYR61H:1,-1.3168972330926592,-0.2418494785503427
codY:codYR61H:2,-0.7630949267574902,0.22799107461224466
codY:codYF71Y:1,-0.1932618113181359,0.02718116939068516
codY:codYF71Y:2,0.5011149564039963,-0.014136657638882609
decay:wt:1,-0.7724800511782012,-0.04038656174003563
decay:wt:2,0.2869706494274544,0.09797934332169687
decay:wt:3,0.4855094017507557,-0.05759278158166125
decay:delpnpA:1,11.445960186634688,-0.6610363137335282
decay:delpnpA:2,10.395982589822903,-0.5192196576555181
decay:delpnpA:3,10.673439549169746,-0.4958009621074018
ecm_tasA:deltasA:1,1.0756780289159482,-0.2474509838717056
ecm_tasA:deltasA:2,0.23260942398586,0.09224463675706483
ecm_tasA:deltasA:3,0.7180096624487637,0.16409149942504264
ecm_tasA:delcssRS:1,-2.132318910304308,-0.15926893525554142
ecm_tasA:delcssRS:2,-1.3395275345663942,0.010586982956398929
ecm_tasA:delcssRS:3,-1.3124039950797,-0.21291837065659625
ecm_tasA:wt:1,-0.4401205323398537,0.06328046553066269
ecm_tasA:wt:2,0.4401205323398623,-0.06328046553066269
heatshock:wt_37C:1,2.478512249212762,0.26846062195026565
heatshock:wt_37C:2,3.081287830832312,0.10057743028502486
heatshock:wt_37C:3,-5.559800080045091,-0.3690380522352932
heatshock:wt_48C:1,-6.098094418240675,0.3426651137202201
heatshock:wt_48C:2,-6.06348532295799,0.6158119843828489
heatshock:wt_48C:3,-16.766531004826525,0.029043612012270795
heatshock:wt_53C:1,-7.243187963814807,-0.8311142254590465
heatshock:wt_53C:2,-6.304976471698173,-0.04915469928810001
heatshock:wt_48_53C:1,-15.866136916784738,-0.27014872880835306
heatshock:wt_48_53C:2,-17.475496034115054,-0.1221902425391086
heatshock:wt_48_53C:3,-16.297604829820067,-0.34185159110849384
heatshock:delrelA_37C:1,-17.6303417250208,0.14300951028822073
heatshock:delrelA_37C:2,-18.2351454975798,0.3747212940873421
heatshock:delrelA_48C:1,-21.16633998509804,0.4108151832752052
heatshock:delrelA_48C:2,-20.67779095811324,0.2273291079216211
heatshock:delrelA_48C:3,-9.425475932013867,-0.15376807581698415
heatshock:ppGpp_null_37C:1,-8.518156087367029,-0.7226409476127884
heatshock:ppGpp_null_37C:2,0.526342964040478,-0.216112372594818
heatshock:ppGpp_null_37C:3,-9.583478051587765,-0.8112190618579929
heatshock:ppGpp_null_48C:1,-19.18795452293342,-0.13970766490181408
heatshock:ppGpp_null_48C:2,-9.80547473248856,0.5392473934349793
heatshock:ppGpp_null_48C:3,-16.150425253390644,0.0998965612849334
ldar:yfiJKplus:1,-11.129211366170416,0.004535476209219347
ldar:yfiJKplus:2,-11.610121929744782,0.857286018504456
ldar:yfiJ_A152E:1,-12.892593417229044,1.2732392153587293
ldar:yfiJ_A152E:2,-11.088246294735725,0.7381125224762181
ldar:wt:1,-0.3994002822222264,0.08221560307947318
ldar:wt:2,0.3014361984139549,-0.20179214038777094
ldar:wt:3,0.09796408380828953,0.11957653730829955
mk7:shake:1,-0.6086988210643584,0.0397915584498012
mk7:shake:2,-0.5092377681559723,-0.045758671087115836
mk7:shake:3,0.6932322807812575,0.1951146415273888
mk7:shake:4,0.4247043084390522,-0.18914752889007505
mk7:static:1,3.0238108294823327,0.633978946822273
mk7:static:2,3.2930055560393674,0.5336250280013504
mk7:static:3,1.2833166665366198,0.5799904938446083
mk7:static:4,0.7785773076430533,0.4735161014769584
nusA:nusA_induced:1,-2.9004881423110684,0.10776676138746576
nusA:nusA_induced:2,-2.017366950114197,0.2604082441109403
nusA:nusA_induced:3,-1.9049080037188468,0.27887179200512424
nusA:nusA_induced:4,-2.8628805973868623,-0.11166539231235628
nusA:nusA_induced:5,-3.1388754818195785,-0.22105374546700496
nusA:nusA_induced:6,-3.1027278631303266,-0.3764578546097237
nusA:no_nusA:1,0.35870023187230754,0.23246793193799495
nusA:no_nusA:2,0.8421298616231624,0.03379082194438165
nusA:no_nusA:3,0.02284732876437052,-0.07725179111413016
nusA:no_nusA:4,-0.438365628340764,0.010623518595534344
nusA:no_nusA:5,-0.2404676865675115,-0.14747641964382208
nusA:no_nusA:6,-0.5448441073515554,-0.052154061719956964
pamR:wt_exp:1,1.2066547330144528,-0.16514766598170286
pamR:wt_exp:2,-1.2066547330144284,0.16514766598170286
pamR:delydhC_exp:1,-4.00633882875844,-0.21788401321340167
pamR:delydhC_exp:2,-2.4464369023230623,-1.060776515959187
pamR:delydhC_exp:3,0.6916640136576759,-0.4356545087285309
pamR:wt_stat:1,-13.084852000638586,2.3715105303009043
pamR:wt_stat:2,-12.908129978736714,1.717943972715705
