,osmE
Cr_1,-0.0030613964102248533
Cr_2,-0.003291512434324662
Cr_3,0.0060488713769338035
Cr_4,0.010880628569173231
Cr_5,0.014512476883486844
Cr_6,0.018603267299309403
Fe_1,-0.010242998631925578
Fe_2,-0.0396991986801478
Fe_3,-0.07404172350758924
Fe_4,-0.11520931848497692
Fe_5,-0.16510354175228995
Fe_6,-0.2257413542293028
Cd_1,-0.002965446429302877
Cd_2,-0.0038448614521467478
Cd_3,-0.006228587321477993
Cd_4,-0.004174718311117175
Cd_5,-0.0095669888207804
Cd_6,-0.00596076567211867
Zn_1,-0.007136897317339978
Zn_2,-0.006812026279647893
Zn_3,0.013107808415442049
Zn_4,0.014380386096603687
Zn_5,0.02000299537790256
Zn_6,0.019372784615474148
Cu_1,0.0005088691175373388
Cu_2,0.006041958883698118
Cu_3,0.013853832587666112
Cu_4,0.018080169120145227
Cu_5,0.01854215861180451
Cu_6,0.02047107951412821
Pb_1,0.005062460250870321
Pb_2,0.003839797394519059
Pb_3,0.007008728363802578
Pb_4,0.014203631801328331
Pb_5,0.025169315456588383
Pb_6,0.033004928818557884
