,rbfA
Cr_1,-0.0012645456303702627
Cr_2,0.0020083300990162167
Cr_3,0.004214125445534863
Cr_4,0.0006663212303679679
Cr_5,0.0010435086759028977
Cr_6,-0.0028307759438940287
Fe_1,-0.051847664794287936
Fe_2,-0.10556670706211488
Fe_3,-0.14019498491875435
Fe_4,-0.17139848546509373
Fe_5,-0.1894345999461823
Fe_6,-0.19704696739967775
Cd_1,0.002959565625000607
Cd_2,0.008533407008190006
Cd_3,0.011345373070370559
Cd_4,0.011819585606739971
Cd_5,0.010144266859613948
Cd_6,0.013378581369481862
Zn_1,-0.036839372221073266
Zn_2,-0.0570599787190867
Zn_3,-0.053953711203703805
Zn_4,-0.05379714583408441
Zn_5,-0.010434357813273844
Zn_6,0.024999071016592347
Cu_1,0.026603836644008474
Cu_2,0.09472140279273626
Cu_3,0.16468009173155526
Cu_4,0.21760860366514567
Cu_5,0.24490130337638574
Cu_6,0.2613617558878324
Pb_1,0.001215604691297965
Pb_2,0.0018149239045654488
Pb_3,0.0036988717137325135
Pb_4,-0.003253923487856539
Pb_5,-0.001690304490199515
Pb_6,-0.005199802078568099
