,ynfM
Cr_1,0.00280631955757654
Cr_2,0.022950279767845083
Cr_3,0.05619675899613418
Cr_4,0.07878372746934252
Cr_5,0.10308686137292343
Cr_6,0.1298083975834073
Fe_1,0.0001621012592278795
Fe_2,0.027814171068848103
Fe_3,0.06337126759973095
Fe_4,0.07287030968570034
Fe_5,0.06829195434315012
Fe_6,0.05584962037977823
Cd_1,0.006241275343838028
Cd_2,0.022063627815802875
Cd_3,0.03650330700807879
Cd_4,0.054673119850654636
Cd_5,0.06578868817091234
Cd_6,0.07805082046660193
Zn_1,-0.037903384221597114
Zn_2,-0.04968780535660188
Zn_3,-0.04148548236751071
Zn_4,-0.021231001014359947
Zn_5,-0.027156817076034668
Zn_6,-0.05366034844552725
Cu_1,0.002579928884106994
Cu_2,0.012359913860692491
Cu_3,0.031929776716904404
Cu_4,0.0464514807147647
Cu_5,0.06318101824631372
Cu_6,0.08137846469530005
Pb_1,0.005196787256651943
Pb_2,0.01858849692966581
Pb_3,0.03462246333190685
Pb_4,0.05537015795565897
Pb_5,0.07041197464007537
Pb_6,0.08822125196142523
