,yidH
Cr_1,0.014809364886038385
Cr_2,0.026801709826674548
Cr_3,0.03329283369007285
Cr_4,0.0367755730771376
Cr_5,0.04521533172887258
Cr_6,0.056102064597525265
Fe_1,-0.005988501414555075
Fe_2,-0.007273689332837844
Fe_3,-0.0049947736007598656
Fe_4,-0.008768553037272059
Fe_5,-0.011971690891986157
Fe_6,-0.011628191140530786
Cd_1,0.0019460979872052949
Cd_2,0.0042250856851423204
Cd_3,0.006062495438069995
Cd_4,0.005748202205285948
Cd_5,0.003026259217078503
Cd_6,0.007141440296576085
Zn_1,-0.004936666601487846
Zn_2,0.0056550110245064894
Zn_3,0.025672952214603948
Zn_4,0.04770408209226376
Zn_5,0.06365349218594257
Zn_6,0.08100364260579207
Cu_1,0.008871052676681666
Cu_2,0.022957470535722845
Cu_3,0.04015071220546746
Cu_4,0.057441926955170176
Cu_5,0.07055501731362883
Cu_6,0.08278961277322328
Pb_1,0.006610382696657214
Pb_2,0.013042925146606179
Pb_3,0.020149823466337254
Pb_4,0.02856815476342906
Pb_5,0.03672118943906871
Pb_6,0.04716080203129646
