,A,MalT
R2,,0.5131286023990862
xmin,,-5.3062008985
xmid,,-1.3682338579112419
xmax,,1.7293322785
ystart,,-6.968022215599088
yend,,7.751706906939518
control__wt_glc__1,-0.1260825874,-0.057839468500000005
control__wt_glc__2,0.1260825874,0.057839468500000005
fur__wt_dpd__1,-7.9313637345,-2.1033749985
fur__wt_dpd__2,-8.028372597,-2.2653718755
fur__wt_fe__1,-1.6085812856000001,-0.38941977450000004
fur__wt_fe__2,-0.6613377193000001,-0.2387886395
fur__delfur_dpd__1,-8.5083290061,-1.8354996045
fur__delfur_dpd__2,-8.6537316286,-1.6170108724999999
fur__delfur_fe2__1,-0.1430342081,-0.0224247025
fur__delfur_fe2__2,-0.3918075471,-0.0962732265
acid__wt_ph5__1,-3.9269465352,-0.6365078695
acid__wt_ph5__2,-3.9855461609000002,-0.6296238425
acid__delgadx_ph5__2,-3.406211849,-0.4574500335
acid__delgadw_ph5__1,-2.8232862847,-0.4512488005
acid__delgadw_ph5__2,-2.7601107447,-0.5335636485
acid__delgade_ph5__1,-3.9489972985,-0.5354207895
acid__delgade_ph5__2,-3.5304400727000003,-0.4987644625
oxidative__wt_pq__1,-4.76833795,-2.2224274545
oxidative__wt_pq__2,-4.4420448948,-2.0391392255
oxidative__deloxyr_pq__1,-4.7109996093,-1.6900098375
oxidative__deloxyr_pq__2,-4.5155337249,-1.6655791965
oxidative__delsoxr_pq__1,-6.6549570197,-1.9702154145000002
oxidative__delsoxr_pq__2,-7.11902128,-2.0743159535
oxidative__delsoxs_pq__1,-5.3294323487,-2.0923540985
oxidative__delsoxs_pq__2,-5.3779666014,-2.0854833575
nac_ntrc__wt_csn__1,-7.6034132454000005,-1.2268169545
nac_ntrc__wt_csn__2,-7.4431119503,-1.1808176525
nac_ntrc__wt_cytd__1,-5.6286156164,-0.7989961515
nac_ntrc__wt_cytd__2,-5.8415784372,-0.8092676255
nac_ntrc__wt_gln__1,-7.7820980147,-0.9797361035000001
nac_ntrc__wt_gln__2,-8.0843497283,-1.0094040995
nac_ntrc__bw_delnac_csn__1,-8.2724122093,-1.9012197535
