,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X,rep5_idx,rep5_X,rep6_idx,rep6_X,rep7_idx,rep7_X,rep8_idx,rep8_X
72,Stress Time Course__M0t90,13.107566666666665,1.0884927667804385,3.0,175.0,12.2981,176.0,14.345,177.0,12.6796,,,,,,,,,,
73,Stress Time Course__M40t45,15.5969,1.1453530154498215,3.0,178.0,16.134,179.0,14.2817,180.0,16.375,,,,,,,,,,
74,Stress Time Course__M40t90,13.594299999999999,0.5977949564859171,3.0,181.0,13.1774,182.0,14.2792,183.0,13.3263,,,,,,,,,,
75,Stress Time Course__dia0,16.383366666666664,0.0839360669398637,3.0,184.0,16.3966,185.0,16.4599,186.0,16.2936,,,,,,,,,,
76,Stress Time Course__dia5,15.515,0.3187331799483701,3.0,187.0,15.604800000000001,188.0,15.161,189.0,15.7792,,,,,,,,,,
77,Stress Time Course__dia15,16.361233333333335,0.10911160952590385,3.0,190.0,16.4724,191.0,16.357,192.0,16.2543,,,,,,,,,,
78,Stressors__Diami,15.899066666666664,0.2480085952811584,3.0,193.0,15.6131,194.0,16.0553,195.0,16.0288,,,,,,,,,,
79,Stressors__Paraq,16.2979,0.16383964721641764,3.0,196.0,16.2888,197.0,16.4661,198.0,16.1388,,,,,,,,,,
80,Stressors__H2O2,16.3858,0.10163508252567238,3.0,199.0,16.4343,200.0,16.4541,201.0,16.269,,,,,,,,,,
81,Stressors__Oxctl,16.4213,0.058521876251534516,3.0,202.0,16.3554,203.0,16.4413,204.0,16.4672,,,,,,,,,,
82,Carbon Transition__GM-0.1,16.223066666666664,0.34676450702650186,3.0,205.0,15.8264,215.0,16.4687,225.0,16.3741,,,,,,,,,,
83,Carbon Transition__GM-0.2,16.1199,0.5309683700560707,3.0,206.0,15.5068,216.0,16.4294,226.0,16.4235,,,,,,,,,,
84,Carbon Transition__GM+5,16.114,0.4084211919085493,3.0,207.0,15.662700000000001,217.0,16.2211,227.0,16.4582,,,,,,,,,,
85,Carbon Transition__GM+15,16.086766666666666,0.24756438219851698,3.0,208.0,15.8038,219.0,16.2634,229.0,16.1931,,,,,,,,,,
86,Carbon Transition__GM+25,16.350766666666665,0.20671652893112555,3.0,209.0,16.4808,220.0,16.4591,230.0,16.1124,,,,,,,,,,
87,Carbon Transition__GM+45,15.863166666666666,0.4725609519769202,3.0,210.0,16.3963,221.0,15.6973,231.0,15.4959,,,,,,,,,,
88,Carbon Transition__GM+60,15.842566666666665,0.5043609454877853,3.0,211.0,16.3937,222.0,15.404,232.0,15.73,,,,,,,,,,
89,Carbon Transition__GM+90,16.367433333333334,0.04423509165055888,3.0,212.0,16.41,223.0,16.3706,233.0,16.3217,,,,,,,,,,
90,Carbon Transition__GM+120,15.75085,0.4165566047969953,2.0,213.0,15.4563,234.0,16.0454,,,,,,,,,,,,
91,Carbon Transition__GM+150,16.138199999999998,0.27363905057575355,3.0,214.0,16.2623,224.0,15.8245,235.0,16.3278,,,,,,,,,,
92,Carbon Transition__GM+10,15.817599999999999,0.0002828427124752159,2.0,218.0,15.8174,228.0,15.8178,,,,,,,,,,,,
93,Carbon Transition__MG-0.1,16.1112,0.35977844571346895,3.0,236.0,16.1223,244.0,15.746,254.0,16.4653,,,,,,,,,,
94,Carbon Transition__MG+5,16.1354,0.395380968181322,3.0,237.0,16.3944,246.0,15.6803,256.0,16.3315,,,,,,,,,,
95,Carbon Transition__MG+10,16.175933333333333,0.44592297914923995,3.0,238.0,16.479,247.0,16.384900000000002,257.0,15.6639,,,,,,,,,,
96,Carbon Transition__MG+15,16.452266666666667,0.008177000264971337,3.0,239.0,16.4472,248.0,16.4479,258.0,16.4617,,,,,,,,,,
97,Carbon Transition__MG+25,16.3242,0.2019504642232846,3.0,240.0,16.4249,249.0,16.0917,259.0,16.456,,,,,,,,,,
98,Carbon Transition__MG+45,16.179933333333334,0.4993034181070001,3.0,241.0,16.4469,250.0,15.6039,260.0,16.489,,,,,,,,,,
99,Carbon Transition__MG+120,16.04393333333333,0.5011204379521298,3.0,242.0,15.4682,253.0,16.382,263.0,16.2816,,,,,,,,,,
100,Carbon Transition__MG+150,16.4116,0.0756604255869601,2.0,243.0,16.3581,264.0,16.4651,,,,,,,,,,,,
101,Carbon Transition__MG-0.2,16.333350000000003,0.20937431790933614,2.0,245.0,16.4814,255.0,16.1853,,,,,,,,,,,,
102,Carbon Transition__MG+60,16.248849999999997,0.19155522702343644,2.0,251.0,16.1134,261.0,16.3843,,,,,,,,,,,,
103,Carbon Transition__MG+90,16.2055,0.35525044686812257,2.0,252.0,15.9543,262.0,16.4567,,,,,,,,,,,,
