,A,RcnR
R2,,0.5689679845073634
xmin,,-4.668497862775811
xmid,,-2.6418869873926876
xmax,,1.6594981929999992
ystart,,-3.7953776963127464
yend,,3.927883283597464
control__wt_glc__1,0.0449073056637131,-0.0179259759999999
control__wt_glc__2,-0.0449073056636876,0.01792597599999901
fur__wt_dpd__1,-6.712154477020803,-2.617371014
fur__wt_dpd__2,-7.660495294364218,-2.7971039660000003
fur__wt_fe__1,-2.573650217269061,-1.4165589830000007
fur__wt_fe__2,-2.7744480571290526,-1.6084307420000004
fur__delfur_dpd__1,-6.502301233437859,-2.6501156009999995
fur__delfur_dpd__2,-7.055899068543667,-2.40834609
fur__delfur_fe2__1,-1.0839270650882509,-1.0641070599999995
fur__delfur_fe2__2,-1.608430589015132,-1.3048855379999995
acid__wt_ph5__1,-4.457962452039867,-1.845199913
acid__wt_ph5__2,-4.82924479032976,-1.7924751699999997
acid__delgadx_ph5__2,-5.314716350958867,-1.902713046
acid__delgadw_ph5__1,-4.872083192026695,-1.6788800679999998
acid__delgadw_ph5__2,-5.400417973735983,-1.901487189
acid__delgade_ph5__1,-4.905251793487586,-1.5468153480000002
acid__delgade_ph5__2,-4.718026902263615,-1.785202085
oxidative__wt_pq__1,-4.398263153863039,-1.823004779
oxidative__wt_pq__2,-4.158983912650262,-1.6329548899999995
oxidative__deloxyr_pq__1,-4.071160367751479,-0.4575744679999998
oxidative__deloxyr_pq__2,-3.763447054266792,-0.514239581
oxidative__delsoxr_pq__1,-3.856565523096442,-1.7770258740000004
oxidative__delsoxr_pq__2,-4.551504558145796,-1.5053905490000004
oxidative__delsoxs_pq__1,-5.3804966875841,-1.4955146040000002
oxidative__delsoxs_pq__2,-5.5129717134752045,-1.6986647990000003
nac_ntrc__wt_csn__1,-6.284316574706419,-1.8055018570000003
nac_ntrc__wt_csn__2,-5.977200215096844,-1.9781204170000004
nac_ntrc__wt_cytd__1,-4.801685331870101,-1.838707358
nac_ntrc__wt_cytd__2,-4.510874769466909,-2.1446809900000003
nac_ntrc__wt_gln__1,-4.8712781938612935,-1.9005444870000003
nac_ntrc__wt_gln__2,-5.348119072492821,-1.97218626
nac_ntrc__bw_delnac_csn__1,-5.275123988767683,-1.1056538980000017
nac_ntrc__bw_delnac_csn__2,-5.483295653302885,-1.186409823
nac_ntrc__bw_delnac_cytd__1,-4.193645819821956,-2.033218162
nac_ntrc__bw_delnac_cytd__2,-3.845128055240801,-1.9145794630000008
nac_ntrc__bw_delnac_gln__1,-4.252928255261844,-1.4052959080000005
nac_ntrc__bw_delnac_gln__2,-3.8244426372296143,-1.4951195740000005
nac_ntrc__bw_delnac_nh4__1,1.3444976936990125,-0.032116264999999984
nac_ntrc__bw_delnac_nh4__2,1.102196122453062,0.05918165699999989
misc__wt_no_te__1,-2.584970593761846,-2.030172772
misc__wt_no_te__2,0.4795791169670192,0.1226425219999996
misc__bw_delcbl__1,0.2099895356019709,0.28701068000000074
misc__bw_delcbl__2,0.6068458814407632,0.28310735200000003
misc__bw_delfabr__1,0.5864303908426941,0.06268181099999914
misc__bw_delfabr__2,0.5543253201177407,0.042683009000000105
misc__bw_delfadr__1,0.8344495391549355,0.28127492599999915
misc__bw_delfadr__2,1.068142572731228,0.32050574699999945
misc__nitr_031__1,-1.0211208533247549,0.6438132309999984
omics__wt_glu__1,-2.9353406364312025,-0.5694885340000004
omics__wt_glu__2,-3.3339069935161723,-0.6413667380000003
omics__wt_gly__1,-3.790457422876276,-0.7422238630000004
omics__wt_gly__2,-3.53227491662394,-0.8926144709999999
omics__wt_thr__1,-1.0516260990276716,-1.1005297190000007
omics__wt_thr__2,-1.0189879372574682,-1.3113785560000002
omics__bw_ac__1,1.2810964046836382,0.7584774789999997
omics__bw_ac__2,1.2081350201761718,1.0735515609999986
omics__bw_fum__1,0.6169453900507118,0.43208606199999977
omics__bw_fum__2,0.7775528680913047,0.6369382409999993
omics__bw_glc__1,1.0016037898099452,0.8520946709999997
omics__bw_glc__2,0.8384691506203811,0.9713189379999996
omics__bw_pyr__1,0.7679609743370498,0.5382995019999983
omics__bw_pyr__2,1.174263790428139,0.8147980909999992
ompr__wt_nacl__1,-5.233409280126951,-1.2859095160000005
ompr__wt_nacl__2,-4.776630480334088,-1.4797050929999995
ompr__bw_delompr_nacl__1,-5.582507243714243,-0.699563544000001
