locus,gene_weight,gene_name,gene_product,cog,regulator,RcnR,link
b2106,0.4245348257347768,rcnA,Ni(2(+))/Co(2(+)) exporter,"Intracellular trafficking, secretion, and vesicular transport","RpoD,Fur,RcnR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7138
b2105,0.2411277710357127,rcnR,DNA-binding transcriptional repressor RcnR,Transcription,"RpoD,RcnR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7137
