,ybeT
Cr_1,0.008520943545263965
Cr_2,0.017380864535270258
Cr_3,0.02573998987572739
Cr_4,0.030855786793789405
Cr_5,0.033627904864445106
Cr_6,0.037403877559501454
Fe_1,0.002645814878001116
Fe_2,-0.006539876574180213
Fe_3,-0.019237582509384763
Fe_4,-0.03573082956709734
Fe_5,-0.051867792519722254
Fe_6,-0.054118299770735866
Cd_1,-0.0026110218750474297
Cd_2,0.0020236971119585345
Cd_3,0.006993218272295671
Cd_4,0.012833348923406826
Cd_5,0.008965466932680206
Cd_6,0.013914963246905757
Zn_1,-0.004301030565442606
Zn_2,0.00036853492970350017
Zn_3,0.0019998513475155875
Zn_4,0.008843945738772799
Zn_5,0.004063638185424837
Zn_6,-0.005938889392262352
Cu_1,0.0056122996007612605
Cu_2,0.0160726850599153
Cu_3,0.027783594679741425
Cu_4,0.041711576387339334
Cu_5,0.05774358940277581
Cu_6,0.07554295637426882
Pb_1,0.004243839788453263
Pb_2,0.010603118360160205
Pb_3,0.017013179626595067
Pb_4,0.029902007612052982
Pb_5,0.043023984059192666
Pb_6,0.057491508511800425
