,A,PyrR
R2,,0.0011206822969331842
xmin,,-1.6189581175
xmid,,
xmax,,1.6560051695
ystart,,2.658437637154197
yend,,1.5946059424235286
control__wt_glc__1,-0.043567710100000004,0.1315133645
control__wt_glc__2,0.043567710100000004,-0.1315133645
fur__wt_dpd__1,0.3676592335,1.4676838075
fur__wt_dpd__2,0.7919538574,1.3990637025
fur__wt_fe__1,-0.3751514133,-0.27422569750000003
fur__wt_fe__2,-0.0339362397,0.1244839345
fur__delfur_dpd__1,0.7745219835,1.1688070085
fur__delfur_dpd__2,0.7684199824,0.9618630595000001
fur__delfur_fe2__1,0.4962162511,0.5216747095000001
fur__delfur_fe2__2,0.4321410982,0.4097784445
acid__wt_ph5__1,0.7142262241,0.7126660075
acid__wt_ph5__2,0.5492049916,0.8367617995000001
acid__delgadx_ph5__2,-0.7737510496000001,0.8550463405000001
acid__delgadw_ph5__1,0.1088944132,0.7982746375
acid__delgadw_ph5__2,0.1400571999,0.8598026215000001
acid__delgade_ph5__1,0.0356717098,0.8151128225000001
acid__delgade_ph5__2,0.3809061701,0.7750832105000001
oxidative__wt_pq__1,1.0581641227,1.0251471915
oxidative__wt_pq__2,0.4471664145,1.3089461755
oxidative__deloxyr_pq__1,0.3439549398,1.2462474525
oxidative__deloxyr_pq__2,-0.07732332360000001,1.2174143575
oxidative__delsoxr_pq__1,0.5250148560000001,1.0795907735
oxidative__delsoxr_pq__2,0.4542681458,1.0580837685
oxidative__delsoxs_pq__1,0.254436149,1.2841402295
oxidative__delsoxs_pq__2,0.7450298477,1.4273207275
nac_ntrc__wt_csn__1,1.2842967496,0.4149275115
nac_ntrc__wt_csn__2,1.4197343464,0.6460029895
nac_ntrc__wt_cytd__1,0.7888296771000001,0.3491907515
nac_ntrc__wt_cytd__2,0.6737817295,0.2812765725
nac_ntrc__wt_gln__1,0.46548177220000003,0.8449387875000001
nac_ntrc__wt_gln__2,0.27554228210000004,0.9250772025
nac_ntrc__bw_delnac_csn__1,2.2537348732,1.2823192725
nac_ntrc__bw_delnac_csn__2,1.7021425327,1.3698270535
nac_ntrc__bw_delnac_cytd__1,-0.530849235,1.0151399425
nac_ntrc__bw_delnac_cytd__2,-0.4654162855,1.0262594485
nac_ntrc__bw_delnac_gln__1,-0.6683392927,1.3849446925
nac_ntrc__bw_delnac_gln__2,0.0626516253,1.2129664255
