,ypeA
Cr_1,0.003175659576315898
Cr_2,0.007578548156756022
Cr_3,0.011606471732404236
Cr_4,0.016025503383774557
Cr_5,0.02060078323883696
Cr_6,0.02031679996757663
Fe_1,-0.015924624387505474
Fe_2,-0.033829362078569
Fe_3,-0.05277046502386192
Fe_4,-0.07330725075565292
Fe_5,-0.0904182981977242
Fe_6,-0.1013339183095025
Cd_1,0.002512456010712535
Cd_2,0.0051364003004445895
Cd_3,0.00788900332366025
Cd_4,0.0084056944884557
Cd_5,0.005486789220940496
Cd_6,0.008029237069532947
Zn_1,-0.0058009806791362965
Zn_2,-0.008699511987935355
Zn_3,-0.00040960491016079676
Zn_4,0.0130976164324776
Zn_5,0.02826433043313165
Zn_6,0.04377250193099428
Cu_1,0.0035622439550895475
Cu_2,0.008228277165484412
Cu_3,0.014076427166915402
Cu_4,0.02268708199095188
Cu_5,0.027499330929007863
Cu_6,0.038516490844817834
Pb_1,0.0006610878485004808
Pb_2,0.0033000075033926602
Pb_3,0.014065862280827962
Pb_4,0.02548813558093503
Pb_5,0.03602650360311964
Pb_6,0.048839185250435714
