,argD
Cr_1,0.009261886531162918
Cr_2,0.021367559259671667
Cr_3,0.02903192752945046
Cr_4,0.032707477387646636
Cr_5,0.037427100875441786
Cr_6,0.041164326632900386
Fe_1,-0.0042444751996453135
Fe_2,-0.0014509941136526304
Fe_3,0.0001788442699136575
Fe_4,0.001556026607947216
Fe_5,0.009681880224625105
Fe_6,0.013751464171572957
Cd_1,-0.011761685090956538
Cd_2,0.008199739375894159
Cd_3,0.04531099841190578
Cd_4,0.0758409138470457
Cd_5,0.16276752802270766
Cd_6,0.10358673909201324
Zn_1,-0.0022319610068025925
Zn_2,-0.0070097242099320094
Zn_3,-0.009736869274721206
Zn_4,-0.01297412143337477
Zn_5,-0.017719362437666798
Zn_6,-0.02479287570303273
Cu_1,0.005849486064622783
Cu_2,0.010576012741541204
Cu_3,0.017397979254763017
Cu_4,0.024213476754717096
Cu_5,0.02931486508453045
Cu_6,0.04500898978547127
Pb_1,-0.0026095605272903194
Pb_2,0.0020571932813490267
Pb_3,0.0021570334040530628
Pb_4,-0.011830379357919779
Pb_5,-0.01474990381673201
Pb_6,-0.01770988099433062
