,A,GadW,GadX
R2,,0.7229668338942441,0.586155251412642
xmin,,-7.983339262,-9.8758005074
xmid,,,
xmax,,5.316441055,6.3348834177
ystart,,-9.73940968468178,-10.780469220623402
yend,,6.4353756763911125,6.997453185310524
SRX1125282,-0.5654044508,-0.060934301,-0.12482847
SRX1125283,-0.44894601710000004,-0.21450649870000002,-0.2006028142
SRX1125284,-0.40011128970000004,-0.3494689643,-0.453886748
SRX1125285,0.0428416074,-0.4113986553,-0.5297956462
SRX1125286,-1.0825042327,-0.7466130893,-0.9186168223000001
SRX1125287,-1.2387206892,-0.8276321425000001,-1.090569979
SRX1125288,0.0495943972,-0.0400976885,0.168993417
SRX1125289,0.4233798083,-0.1383482034,-0.0410269929
SRX1125290,-0.0346686753,-0.3404777443,-0.3590915656
SRX1125291,-0.6683602376000001,-0.4329814007,-0.6117241531000001
SRX1125292,-1.2834027874,-0.7615936194,-0.8113224360000001
SRX1125293,-1.4225715354,-0.4184312479,-0.3007966758
SRX1125294,0.5158100536,0.1010319895,-0.044164947
SRX1125295,-0.8234391975,-0.18504000180000002,-0.0560384067
SRX1125296,-0.0460453378,-0.3245291436,-0.3621821525
SRX1125297,-0.0592513493,-0.2932593882,-0.256270286
SRX1125298,-1.3060215827000001,-0.5088306049,-0.6250523681
SRX1125299,-1.2142396839,-0.3645023391,-0.44868729430000004
SRX5694250,-3.64697176,-1.747753737,-2.3499672652
SRX5694251,1.699766447,0.2163582634,0.7928732780000001
SRX5694252,-5.5892658174,-4.8910971814,-2.4224282235
SRX5694253,-0.38750015390000003,0.4747264939,0.1668165807
SRX5694254,3.6930889376,2.8553766501,1.9662204062000002
SRX5694255,6.1524067713,0.9282738501000001,0.501196129
SRX5694256,-1.2742765951,-0.578146689,-1.7148761242
SRX5694257,0.8812855412,0.5418337367,1.5200517399
SRX5694258,-0.0977247279,0.8132924708,0.7656232519
SRX5694259,4.1245445088,1.4507418637,0.6815171684
SRX5694260,-0.18734872860000001,0.27372301660000004,-0.3299062304
SRX5694261,-6.6648418049,-4.5456831867,-3.2226228409
SRX5694262,-3.5313308386999998,-2.1820006428,-1.9566249129000002
SRX5694263,-0.2715343036,-0.3016644752,-0.8786231087
SRX5694264,-0.6398217884,-0.7817498318,-0.0761600344
SRX5694265,-1.0110824939,-1.3949916739,-1.1091857831
SRX5694267,-0.6696872608000001,-0.0218773579,0.376795678
SRX5694268,-1.5757933983,-1.1795227811,-1.7436352791
SRX5694269,-1.6726742125,-0.6080245165,-0.511696689
SRX5694271,-0.4462755719,-0.24398370160000002,-0.07581218590000001
SRX5694273,-0.3959567726,-1.0926089695,-2.1267472409
SRX5694274,-1.305768106,-0.7418616888,-1.2403638727
SRX5694275,-2.0452440072,-2.5828278875,-3.1051406477
SRX5694276,1.0524707482,-0.45014896050000003,-0.3728021711
SRX5694277,-1.2948969072,-0.5012943320000001,-0.9322027937
SRX5694278,1.1716725942,-0.3874958356,-0.8765831047
SRX5694279,-0.1662026173,-0.42482587390000004,-0.40183986400000005
SRX5694280,-2.0360827249,-1.4385209238,-2.4687764906
SRX5694281,-0.0458662528,0.3485572799,-0.7513260327
SRX5694282,0.2539015861,-1.3178029966,-1.4329339531
SRX5694283,-1.5480553469,-1.3539580154,-1.431567725
SRX5694284,-2.6516804435,-2.036579961,-1.6205083346
SRX5694285,-1.6167493058,-1.1294158264,-1.3468065535
SRX5694286,-2.0755128073,-1.740640889,-2.3473347349
SRX5694287,1.9352868551,1.8952096850000002,-0.4288208538
SRX5694288,-0.33756241,-0.4356772155,0.2573011581
SRX5694289,-0.9301679419000001,-0.4819330909,-0.24775163050000001
SRX5694290,0.340903402,-0.6346248517,0.0183788918
SRX5694291,5.5101498544,0.9366542116000001,0.2447267686
SRX5694292,-0.4257105574,0.447430207,-0.36236828200000004
SRX5694293,-0.9358087635000001,-0.9842348676,-0.4192109835
SRX5694294,-0.0780141847,1.2143164398,0.1696465278
SRX5694295,3.4595355058,1.2411860387,0.9935815526
SRX5694296,-0.7680091539,0.6652820924,0.4317259873
SRX5694297,2.2826569228,1.0703736334,1.8701901873
SRX5694298,-0.2724495005,0.8524858004,-0.9797652477000001
SRX5694299,0.2786713215,0.4371358145,0.159103836
SRX5694300,0.5325489019,-1.0193071192,-0.8223882814
SRX5694301,-0.2175871044,0.4778983338,-0.6188705213
SRX5694302,-1.4228711508,-0.580259001,-1.1899180729
SRX5694303,-1.846115297,-1.4085220433,-1.3682942998
SRX5694304,-0.3346239425,-1.1587799748,-0.6600796003
SRX5694305,1.1558383261,0.4180517626,0.7591724793
SRX5694306,-2.892247954,-2.0751650822,-0.4981753976
SRX5694307,0.11834415820000001,-1.2653036158,-1.5582623303
SRX5694308,0.268560693,-0.8347901378,-0.842764209
SRX5694309,2.3552032373,-0.3020337236,-0.4543213488
SRX5694310,-1.5198397708,-1.5665330675,-2.8879711853
SRX5694311,3.227528833,0.4750816601,0.06966349100000001
SRX5694312,-2.8048561932,-2.3979780265,-1.9927050321
SRX5694313,4.7687561092,2.170072863,1.1298134488
SRX5694315,-1.2192343722,-1.248800724,-1.3471602564
SRX5694317,3.2371597634000002,3.040692951,1.4323739718000001
SRX5694319,0.0097732034,-0.6995963589,0.5303945427
SRX5694320,4.9344117853,0.9938919358,0.22614956630000002
SRX5694321,-0.0471803713,0.5125120384,0.034567584900000004
SRX5694322,-5.3669466698,-2.9538490659,-1.258112722
SRX5694323,-0.0093089161,0.4305774778,0.1027261953
SRX5694324,1.5563095511,0.6419124973,-0.177495377
SRX5694325,-1.4158303178,-1.4414713383,-1.3730748544
SRX5694326,-1.2682719586,-0.8993721645,-1.0915837913
SRX5694327,-1.2899493352,-0.9937902148000001,-3.0724238099
SRX5694328,0.8187197539000001,-0.25540222900000004,1.1464631220000001
SRX5694329,0.6524232672,1.2517009074,1.2134750358
SRX5694330,-5.1523150897,-3.6904612311,-2.2041395746
SRX5694331,-0.2029520497,-0.3248625584,-0.08721752540000001
SRX5694332,-0.6240345553000001,-0.0188302326,-0.5129801512000001
SRX5694334,-0.7874200601,-0.8554400354,-1.6267876303
SRX5694335,2.5010654177,2.0845812926,1.6576436654000002
SRX5694336,1.6647608308000001,-0.8204157858000001,-0.5827990094000001
SRX5694337,-1.3160161859000001,-0.9132800384,-1.7126764421
SRX5694338,-0.7218784707,-0.6856464837,-1.4560920614000001
SRX5694339,-0.0346722181,-0.3771558396,0.6265660686
SRX5694340,-1.5636413861,-0.6479121655,-1.203651768
SRX5694341,2.7911934934,0.9087578616,0.0492532314
SRX5694342,1.8761999057,1.0370060361,1.4053386570000002
SRX5694343,1.8086251067,2.0655773802,2.7270269393
SRX5694344,1.6037988443,0.960147626,1.7210075158
SRX5694345,-1.5510597067,-1.6317102306,-1.4782147131
SRX5694346,-0.6875160936,0.6080636418,-0.3767676439
SRX5694347,-1.3464361753,-0.3579142788,-0.3000431813
SRX5694348,1.9728093521,1.2722308549,-0.3829922609
SRX5694349,-0.7988368645,-0.7327210373,-1.5312679487
SRX5694350,2.7786353726,2.0376670159,1.1626932107
SRX5694351,0.49908101860000004,0.18376735700000002,0.34066572310000004
SRX5694352,0.8663022155000001,-0.5973638894000001,-1.5200894457
SRX5694353,-0.1638622908,-0.5300398863,-0.12381166460000001
SRX5694354,0.2638459193,-0.218591113,-1.4062341272
SRX5694356,-0.8268736204,-0.8577849544,-0.6287617667000001
SRX5694357,1.7538367559,0.7401996772,0.8526378452000001
SRX5694358,3.8491730505,1.1001166972,0.2021108455
SRX5694359,-2.9704716142,-1.4400920118,-2.6027393814
SRX5694360,-2.304199251,-1.9964506101000001,-2.6275901444
SRX5694361,-6.2473853458,-2.7183343802,-1.7014477846
SRX5694362,-7.1192942012,-4.8910971814,-2.4581859073
SRX5694363,-0.0378662094,0.5840687245,1.2581171051
SRX5694364,3.8082791536,0.10187227930000001,-0.2178661539
SRX5694365,2.6057433962000003,0.9922695331,1.3686681192
SRX5694366,-0.5221263313,-0.800287728,-0.28383058240000003
SRX5694367,-1.6355779087,-1.2572790989,-1.406122229
SRX5694368,-1.3506137026,-1.0287644981,-1.4850170806
