,pncB
Cr_1,-0.001252126718880304
Cr_2,-0.008998767949911668
Cr_3,-0.012077716192955066
Cr_4,-0.021241925508499817
Cr_5,-0.025332368591963528
Cr_6,-0.02059233582722568
Fe_1,-0.006672350347396423
Fe_2,2.264562231550376e-06
Fe_3,0.00543313740309008
Fe_4,0.001652504265751522
Fe_5,0.005704939510851087
Fe_6,0.0069589681194895175
Cd_1,0.05409890617249292
Cd_2,0.11483557662940964
Cd_3,0.17463249529640112
Cd_4,0.23581825578199286
Cd_5,0.28379378982128584
Cd_6,0.3209330297771009
Zn_1,-0.000556595393202917
Zn_2,0.01394823029484123
Zn_3,0.032486903068944806
Zn_4,0.05160551030501491
Zn_5,0.06777500544948156
Zn_6,0.0775229139513677
Cu_1,-0.00044982095044860526
Cu_2,0.0011322996095201286
Cu_3,0.002434351624946025
Cu_4,0.002974074396264419
Cu_5,0.003930033122291914
Cu_6,0.006127851170590989
Pb_1,0.014118485230599347
Pb_2,0.02339552699800081
Pb_3,0.03527162358564158
Pb_4,0.05021767927161561
Pb_5,0.0577217174357265
Pb_6,0.06231676489663372
