,glnK
Cr_1,-0.012318025426712488
Cr_2,-0.008375801760648827
Cr_3,0.0028201907365740025
Cr_4,-0.0061902108441442465
Cr_5,-0.028935236817535667
Cr_6,-0.04993002417992408
Fe_1,-0.07983965917151725
Fe_2,-0.07439807763746165
Fe_3,-0.10789547221292194
Fe_4,-0.13068100487902878
Fe_5,-0.13850119307548053
Fe_6,-0.1503262321422681
Cd_1,0.005488076586071496
Cd_2,0.009295394252208265
Cd_3,0.015361871461740081
Cd_4,0.025922667099268885
Cd_5,0.0272927174204551
Cd_6,0.023272571658700628
Zn_1,-0.016264757677806628
Zn_2,-0.02141308975711816
Zn_3,-0.020493335448872788
Zn_4,-0.03304123446432848
Zn_5,-0.04476614566236737
Zn_6,-0.044312528133367085
Cu_1,0.007980547493199283
Cu_2,0.015483622232985175
Cu_3,0.01971538512653253
Cu_4,0.020061027766431042
Cu_5,0.029233638159930624
Cu_6,0.041072465870646786
Pb_1,0.009196292826942402
Pb_2,0.005032346799583565
Pb_3,0.01078647917117665
Pb_4,0.00762838536564956
Pb_5,0.005347907054162731
Pb_6,0.016712578699316197
