,fxsA
Cr_1,-0.009404824996378177
Cr_2,-0.02475873688927419
Cr_3,-0.030979497323983057
Cr_4,-0.021113056749470924
Cr_5,-0.002956622887089777
Cr_6,0.019115835332251842
Fe_1,-0.009117505010955948
Fe_2,-0.01453027586332279
Fe_3,-0.004366407071901195
Fe_4,0.0021655802866669092
Fe_5,0.013540812126931293
Fe_6,0.02970900935126413
Cd_1,0.002824081059458723
Cd_2,0.0010856244974281988
Cd_3,-0.007205532084977183
Cd_4,-0.008993702354966368
Cd_5,-0.009032724234193856
Cd_6,0.0031990385294217005
Zn_1,-0.004318663384883016
Zn_2,-0.008913639104512554
Zn_3,0.004878089971459653
Zn_4,0.025949991694367555
Zn_5,0.043066161690142934
Zn_6,0.0579495098890973
Cu_1,0.0047993421702866865
Cu_2,0.014006248405067144
Cu_3,0.02215698905333198
Cu_4,0.03160355130809092
Cu_5,0.046178790882402364
Cu_6,0.0605025142396605
Pb_1,0.011425114759071634
Pb_2,0.02354014665047693
Pb_3,0.037408043378439115
Pb_4,0.05900220131152315
Pb_5,0.08098494282405573
Pb_6,0.10659411044896916
