,A,ArcA,AppY,YdeO,RpoS
R2,,0.1797136975591086,0.12712841626593363,0.014286738678880306,0.013131699431693122
xmin,,-3.6017898952,-6.3027467157,-5.2480185811,-8.919357295
xmid,,0.5113275553353854,-4.956785047579727,,-2.7452286556376544
xmax,,3.7109145168,5.9600630711,8.7943466455,4.1241387708
ystart,,-0.14112525253257924,-3.3940451430942487,-1.6570770294221016,-0.9685306072980264
yend,,11.942174604790084,5.693794344648088,3.9149677240772407,2.196700799275409
SRX1125282,-0.0272200603,0.1536251284,0.014660682900000001,0.3703287655,0.12389400360000001
SRX1125283,0.7890702734,-0.1085541986,-0.26832761520000004,-0.0642059244,0.0917269352
SRX1125284,1.3626313559,-0.269085791,-1.3919552131000001,-0.1041337959,0.2668871882
SRX1125285,1.2098433751,0.0131235692,-2.4491556208,-0.111136311,0.6346371772
SRX1125286,-2.0130122966,0.26443002660000003,-3.8795163822000003,-0.14846330700000002,0.7311205703
SRX1125287,-8.8651021144,-0.1415413156,-4.0649354528,0.1767586363,0.047843636
SRX1125288,-0.5431243404,-0.1227035083,-0.0863232906,1.2669243208,-0.011411859
SRX1125289,-1.3804342462,-0.4182880135,-0.9667506180000001,1.4385499249,0.1487334191
SRX1125290,-0.6308375699000001,-0.1456535487,-2.0630427325,-0.07459539030000001,0.5719214457
SRX1125291,-1.3592509194,0.0864050615,-3.2296228648,-0.0169364883,0.7703039475
SRX1125292,-4.9176521286,0.326354303,-4.5918519375999995,0.4073407251,0.9491057834000001
SRX1125293,-11.7370538231,0.2809830862,-3.8081185903,0.588027348,0.7949646441
SRX1125294,0.5703444007,-0.0309216201,0.0716626076,-1.6372530862999999,-0.1124821446
SRX1125295,-0.8440575787,-0.0305290823,-0.0365152174,0.1692551715,0.0485519624
SRX1125296,0.5985693879,-0.30555163100000005,-1.1626527901,0.2834478193,0.2451175693
SRX1125297,-0.3311039045,0.0006214416,-2.3500730979,-0.0512529703,0.5595453177
SRX1125298,-4.1048240801,0.6068628834,-3.7456465881,0.9968252336000001,1.0364768899
SRX1125299,-9.2976717502,0.5516321501,-3.7564459199,-0.2084834918,0.7744984592
SRX5694250,1.9163051983,0.49107579710000004,-2.6058111407,-0.3828724076,-0.6575883396000001
SRX5694251,1.6422536466,-0.9538123343,-1.3749268612,-0.3828724076,-0.41439528130000003
SRX5694252,1.4013955842999999,0.3631602573,-2.7936631302,-0.3828724076,-1.5267586985000001
SRX5694253,-0.3890232632,-0.17749356630000002,-0.1936393882,0.4756957208,0.013532579400000001
SRX5694254,2.9728977975,-0.2571254471,-0.8644984505000001,2.0008435778,-0.4507050045
SRX5694255,1.8634107039,-0.5795873771,-1.1922469535,0.7409584869,-1.3699185348
SRX5694256,-1.9727573954,-0.6394832572,-2.3238717294,0.8320925115000001,0.0290375594
SRX5694257,-1.1452314292,-0.5994008193,1.8648986477,-0.3828724076,-0.18024768900000002
SRX5694258,0.2656596108,-0.8093510237,-0.0813106886,1.7419344750999999,-0.34416743510000003
SRX5694259,0.4441082217,-1.223874242,-2.3499338218,1.4619902662,-0.4766743304
SRX5694260,0.6074113327,-0.20132201460000002,-0.6115458517,-0.1517305914,0.2482267076
SRX5694261,-1.3996736609,-0.38609345780000004,-5.9659593788,-0.3828724076,0.022944085000000003
SRX5694262,-2.127921123,1.2331627263,-2.2231684036,-0.3828724076,-1.1664088354
SRX5694263,-0.1543500338,-0.4496263185,0.0749065513,-0.3828724076,0.2455560166
SRX5694264,-2.3126392321,-0.5000365137,-0.15117571700000002,-0.3828724076,-0.7270261651000001
SRX5694265,2.541076389,-0.9224545732,0.2661659973,0.0482084486,0.1246632279
SRX5694267,-0.1532844968,-0.31040230480000003,-0.5219582512000001,0.28347668740000004,0.17891339180000002
SRX5694268,-0.09110251330000001,-0.1547312355,-2.6289753022999998,-0.13589214530000002,0.8690290136000001
SRX5694269,0.3862832371,-0.7734435138,-0.4083353894,0.3541602472,0.1019266675
SRX5694271,-0.5891407993000001,-0.2452190206,0.0965463927,-0.0757180428,-0.159521414
SRX5694273,1.3387630457,-0.6604458461,-1.7345582188000002,0.1607130537,-0.7117395496000001
SRX5694274,1.6180632179,-0.36638296740000004,-0.1338576935,0.2026485858,0.2200444192
SRX5694275,0.9619060941,-0.6634625427,-2.9492411241000003,0.4296993576,-0.24488367700000002
SRX5694276,0.6551657510000001,-0.7503258015000001,-1.4710992748,0.34515966200000003,-0.6076757834000001
SRX5694277,0.4038535495,-0.1047583445,-1.536983664,0.9211385488,0.4192586639
SRX5694278,1.7199039911,-1.0523870943,0.0679050049,-0.0084107357,0.3345453216
SRX5694279,1.3806974561,-0.3908090648,-0.01963454,0.9778849841,0.9291638342
SRX5694280,-1.2046052826,-0.6588512144,-3.8710855226,0.13575620160000001,0.6945469896
SRX5694281,2.3984120618,-0.796986874,-0.24864058600000002,-0.3828724076,0.7728686116
SRX5694282,1.9862649732,0.6215221205,-4.4075015267,-0.3828724076,1.381880559
SRX5694283,-1.8078658955,-0.7357496835,-3.2165287194,0.3458310699,0.8471900986
SRX5694284,-0.3601761913,-0.8809856715000001,-3.247637615,0.11407106480000001,0.9445992575000001
SRX5694285,1.3196946289,-0.332200824,-1.0567588871,0.5616761388,-0.101510944
SRX5694286,0.7353755363000001,-0.7032624132,-1.7699153390000002,-0.3828724076,-0.39254390580000004
SRX5694287,1.5058653357,0.5471721956,-3.2199353607,0.2035075691,1.6641543512
SRX5694288,-0.9358644282,-0.6750352942000001,0.4914921866,0.1073783774,-0.6444778476
SRX5694289,1.3019878568,-0.7443126348,0.024966719300000002,2.1390911858,-0.28779240840000003
SRX5694290,-1.6998824186000001,-0.46151863260000003,0.0364995261,0.0219177103,-0.6870264622000001
SRX5694291,2.4500688698,-0.6557503914,-1.4856443905,0.8068838576,-1.3007259393
SRX5694292,2.9305258143,-0.6482476939,-0.6303900037,-0.2063125133,0.8062681238
SRX5694293,-0.40103839620000004,-0.4793409832,0.0228966018,0.6932905056,-0.4039469799
SRX5694294,2.1787692066,-0.5675396422,-0.2094428834,1.1803876631,-0.38068987460000003
SRX5694295,-2.3156527476,-0.034679769900000004,-2.9290598124000002,-0.3828724076,1.1971556762
SRX5694296,1.0199922108,-0.3525345714,0.13412379330000002,0.9854904416,-0.0579672664
SRX5694297,3.5477425780000003,-0.0338108436,3.0303273453,1.5262286233,-1.1718080658
SRX5694298,0.9029527052,-0.4064062229,-1.4776547249,0.1444394463,-0.0579887361
SRX5694299,1.3994670324,-0.40150323260000004,-0.21058152130000002,-0.3828724076,-0.0090804595
SRX5694300,-1.5409520113,-0.4034077274,-0.397088814,-0.3828724076,-0.2858089984
SRX5694301,1.8016026611,-0.7157018740000001,-0.5309007733000001,-0.3828724076,0.7487499111
SRX5694302,-1.3876185341,-0.7166546285000001,-1.4570812869,-0.1437108831,-0.2880430808
SRX5694303,-0.8918725145,-0.5501377366,-0.6737061482000001,-0.1974595036,-0.4022624342
SRX5694304,-1.7710004951,-0.3916451892,-1.0288666054,-0.0627780091,-0.102787711
SRX5694305,4.5853448138,-0.7050130261,-1.277490081,0.6365043538,-0.5464442224
SRX5694306,1.4604938842,0.5643015045,-2.1210152054,-0.3828724076,-0.7664779575
SRX5694307,1.2898182413,0.7962936861000001,-4.2568720388,0.7370259628,0.9269590489
SRX5694308,1.3320311312,-0.2826643938,-1.3301477368999999,-0.3828724076,0.0122038535
SRX5694309,0.07205953500000001,-0.9324801713,-0.8980784195,0.4229250162,-0.9940082433
SRX5694310,-0.9780231249,-0.7154435960000001,-5.7431807639,-0.0804867214,2.0411292587
SRX5694311,1.2354609747,-1.0549187552000001,-1.9829293783000002,0.4430229436,-0.3039589573
SRX5694312,-4.2646875018,1.2063663425,-3.1792791055,-0.3828724076,-1.2338569192
SRX5694313,1.6587939289,0.24705451250000002,-3.073257325,2.5621758797,1.5108161085
SRX5694315,-0.1412591591,-0.8248140526000001,-1.5092258176,-0.3828724076,0.0882130678
SRX5694317,-0.44955938840000004,0.0642004802,-0.4904012592,1.5891990738000001,1.863543381
SRX5694319,-0.11052212400000001,-0.6773202813,0.14277056570000002,0.5696686763000001,-0.7670528724
SRX5694320,2.8393112396999998,-0.7345571464,-0.9739793974000001,0.3837868507,-1.3988456439
SRX5694321,3.3080770029,-0.6457091890000001,-2.1745280648,1.7638921166000001,0.1389480637
SRX5694322,-1.1402579772,0.9416705114,-6.3027467157,-0.3828724076,0.6382039402
SRX5694323,2.8726894783,-0.5853874625000001,-2.4343020895,1.0360790272,0.6371311275
SRX5694324,1.2475365439,-0.9406118542,-2.6120484804,-0.3828724076,0.5891552134
SRX5694325,-0.7500279668000001,-0.28599873,-2.9617519553,0.4324173545,1.1364192666
SRX5694326,-0.9177175327,-0.6848857907,-0.8578831258,-0.0040606668,-0.1227754323
SRX5694327,-0.8275421549,-0.619184327,-5.679386693,0.2324945049,1.842083342
SRX5694328,-0.46826327110000004,-0.7077585323000001,1.0176555215,0.6609347723,-0.3056609431
SRX5694329,4.1539191958,-0.3164502813,0.5383882023000001,2.5163428773,-0.36055310500000004
SRX5694330,-1.2769371405,0.6378008244000001,-3.2906244415,-0.3828724076,-0.7452061929
SRX5694331,0.6004507441,-0.2497476536,0.1089548385,1.3877361836,-0.19376253370000002
SRX5694332,3.0629683804,-0.3739455369,-0.8479887471,1.3254873266,-0.1069060403
SRX5694334,2.1717446604,-0.4412101766,-2.1852979284,-0.3828724076,0.1476735541
SRX5694335,2.7689551354,-0.5310190811000001,-0.46435672850000004,2.3950678749,0.2184687528
SRX5694336,-1.8405078379000002,-0.45421179570000003,-0.1118605808,0.09186473790000001,-0.3321838082
SRX5694337,-2.3133275784,-0.305938729,-3.4398129534,1.4838006356,1.1410073011
SRX5694338,0.2048431969,-0.6137315737,-1.4315454591,-0.3828724076,0.5042714405000001
SRX5694339,-0.7115055188,-0.7445127357,0.411228205,-0.143864239,-0.7028224034
SRX5694340,-1.2395148598,-0.440766099,-2.7120047802,0.6310932449000001,-0.3897788184
SRX5694341,1.0523801404,-0.1313631139,-0.8522616328,0.37045921460000003,0.6749000182
SRX5694342,2.4688394024,0.2026076278,3.6284461506,1.4481202383,-1.0340379245
SRX5694343,5.9005059136,-0.7345121231,1.3485086002,2.8545308475,-0.5313228746
SRX5694344,0.9406441229,-0.33577681130000003,0.8626930652,1.8499212318,-0.3395083618
SRX5694345,0.5107931421,-0.3764485198,-0.7828209469,-0.0581284875,-0.0744392624
SRX5694346,4.9424090165,-0.9055701749,-1.6705889208,2.7140493169,-0.17103448070000002
SRX5694347,0.9859482166,-0.7128745584,0.0710167684,0.9167753869,-0.3425261498
SRX5694348,0.6893907257,-0.3365434024,0.0587782205,0.17731696800000002,0.7875061899
SRX5694349,0.4098278369,-0.9118016409,-2.0581930306,-0.0949147603,0.12003723670000001
SRX5694350,0.3346511327,-0.2723243866,-0.5298628246,1.6311392279999999,-0.7659405174
SRX5694351,4.0542114421,0.7195692725,-1.6404540827,1.5162376379,0.7263733076000001
SRX5694352,3.2413457292,-0.7211493992,-1.3819086296,-0.023746466,-0.6013224671
SRX5694353,-0.4589357126,-1.1035471096,0.8137836364000001,0.0461874704,-0.8785134040000001
SRX5694354,-1.4798095683,-0.8090334449000001,-1.198802421,-0.3828724076,0.7901452873
SRX5694356,-0.5775660259000001,-1.0282208658,0.6331326186,0.0373284181,-1.0691180943
SRX5694357,0.7313708044,0.1033229876,3.1018631324,0.3905871752,-1.224876475
SRX5694358,2.2190451501,-0.989631354,-1.5727181551,1.8631536998,-0.8674783247000001
SRX5694359,0.3460676794,-0.6898793059,-2.5419879442999997,0.5810190936,-0.5275191918000001
SRX5694360,0.22830187440000002,-0.9385224537,-2.2378833143,0.07467358,-0.5277439766
SRX5694361,-1.9760884213,1.0977147786,-5.2482208928,-0.3828724076,0.5715646187
SRX5694362,0.1794769118,0.36099427310000004,-3.8958453163,-0.3828724076,-0.4801473545
SRX5694363,-1.2947618931,-0.600790616,1.6165903419,0.6159625405,-0.2058316979
SRX5694364,-2.6222002781000002,-0.5144488377,-1.0251974127,-0.3828724076,-0.4031858943
SRX5694365,1.3160785826999999,1.4841765936,-3.2080885823,-0.3828724076,0.5258567861
SRX5694366,-1.6467664926,-0.7392321765000001,-0.29804750550000003,0.3545268361,-1.0791491496
SRX5694367,-0.8262437493,-0.2944956992,-3.9738513028,0.2355989064,1.1625349641
SRX5694368,-0.7043754051000001,-0.8669199153,-1.0384367433,-0.1486295325,-0.3946522053
SRX5694369,2.8466050758,-0.5948867843,-0.4334227236,0.073470107,0.0892968809
SRX5694370,-1.3301375516,-0.5244472115000001,-1.8476870170000002,0.2557656096,0.3895898545
SRX5694371,0.2473321832,-0.786795397,-0.5223095754,0.5921907655,-0.9798657269000001
SRX5694372,0.8914469929000001,-0.5681068862,-2.0409543283,0.0051199069,-0.3558929129
SRX5694373,2.1118310089,-0.6737367768,-0.24186700400000002,2.0122572944,-0.3203433341
SRX5694374,1.5557117124,-0.9874018292000001,-1.7807706917,0.353080857,-1.8907045999
SRX5694375,2.9189366753,-0.704628555,-1.1805175118,-0.1521535203,0.5235856839
SRX5694376,-2.7546860299,0.6390051229,-3.8565138301,-0.3828724076,-0.6960164566
SRX5694377,1.325951893,-1.119492052,-2.6228180348,1.7291507104,-1.5270626442
SRX5694378,0.3868761149,-0.5892935844,-4.0680644745,-0.3828724076,-0.4634139386
SRX5694379,0.5624576764,-0.7488069058,-3.6700366927,-0.0217292082,-0.5227460333
SRX5694380,5.0992541565,-0.9849220242000001,-1.2567845387,2.8307841498,-0.6079369570000001
SRX5694381,-0.6148793864000001,0.0536946161,0.622145363,1.0725026806,-0.5831907388
SRX5694382,3.8587721685,-0.4765596486,1.9238768634999999,1.8289706175,-0.5897015176
