,ytfB
Cr_1,-0.003571643209196161
Cr_2,-0.001756420330656142
Cr_3,0.006310985723287194
Cr_4,0.018133931484196904
Cr_5,0.03285842008049255
Cr_6,0.04810071935025682
Fe_1,-0.015462947914177657
Fe_2,-0.055919931322054466
Fe_3,-0.11720980939167128
Fe_4,-0.1916739860830018
Fe_5,-0.2731750455584573
Fe_6,-0.3442175500206113
Cd_1,0.002459038272964984
Cd_2,0.006429501158359441
Cd_3,0.011584415491486576
Cd_4,0.01410890106991377
Cd_5,0.014824804690154932
Cd_6,0.02016332775233393
Zn_1,-0.01214349704388526
Zn_2,-0.01894930410208512
Zn_3,0.0022364223147211927
Zn_4,0.023055537849727484
Zn_5,0.032067955508808706
Zn_6,0.06249326830340793
Cu_1,0.0015240833749337582
Cu_2,0.0046505050951855175
Cu_3,0.00955676156872436
Cu_4,0.01792628114323498
Cu_5,0.02726759002617458
Cu_6,0.03219786923087824
Pb_1,0.01074305140699165
Pb_2,0.018506298612018128
Pb_3,0.03355450763472941
Pb_4,0.04834184823615125
Pb_5,0.0655136808067921
Pb_6,0.08235106665769105
