,ykgI
Cr_1,0.004259621560738985
Cr_2,0.007125631968402069
Cr_3,0.011162170888585886
Cr_4,0.018055989918790573
Cr_5,0.02173724265899369
Cr_6,0.022937804785362018
Fe_1,-0.007852641517840151
Fe_2,-0.023167827127181573
Fe_3,-0.039270827725050986
Fe_4,-0.05904053716161421
Fe_5,-0.07272513327706227
Fe_6,-0.08442489249397987
Cd_1,-6.323058118009327e-05
Cd_2,-0.0005508656806833714
Cd_3,0.0010928073208454347
Cd_4,0.0016532358588631202
Cd_5,-0.005592163343726368
Cd_6,-0.0038925546852809773
Zn_1,-0.0023195191244827604
Zn_2,-0.0033246945116518945
Zn_3,0.003969800026452407
Zn_4,0.01442261012527259
Zn_5,0.02707906879289133
Zn_6,0.039971609348084414
Cu_1,0.003882486404300511
Cu_2,0.007110116684141941
Cu_3,0.008276527952343866
Cu_4,0.012128041699035069
Cu_5,0.019684448038767836
Cu_6,0.0277793933248032
Pb_1,0.0015296257472167411
Pb_2,0.006615945096919393
Pb_3,0.0148668104418721
Pb_4,0.025535748327380148
Pb_5,0.034724129362399665
Pb_6,0.044177551160484135
